density	noise_sigma	noise_seed	method	junction	incoming_row	outgoing_col	global_entry	truth	estimate	abs_error
dense	0.01	2	esmda	3	3	4	44	0.28	0.2907086669	0.01070866693
dense	0.01	2	esmda	3	4	1	45	0.22	0.1794372272	0.04056277279
dense	0.01	2	esmda	3	4	2	46	0.4	0.2159911688	0.1840088312
dense	0.01	2	esmda	3	4	3	47	0.26	0.1746624248	0.08533757521
dense	0.01	2	esmda	3	4	4	48	0.12	0.4299091792	0.3099091792
dense	0.01	2	esmda	4	1	1	49	0.12	0.08083968156	0.03916031844
dense	0.01	2	esmda	4	1	2	50	0.16	0.3220535334	0.1620535334
dense	0.01	2	esmda	4	1	3	51	0.54	0.3085022808	0.2314977192
dense	0.01	2	esmda	4	1	4	52	0.18	0.2886045042	0.1086045042
dense	0.01	2	esmda	4	2	1	53	0.16	0.1590894889	0.0009105110746
dense	0.01	2	esmda	4	2	2	54	0.1	0.1773014493	0.07730144934
dense	0.01	2	esmda	4	2	3	55	0.2	0.231076098	0.03107609803
dense	0.01	2	esmda	4	2	4	56	0.54	0.4325329637	0.1074670363
dense	0.01	2	esmda	4	3	1	57	0.46	0.5020344726	0.04203447258
dense	0.01	2	esmda	4	3	2	58	0.24	0.1686829437	0.07131705633
dense	0.01	2	esmda	4	3	3	59	0.1	0.1387291529	0.0387291529
dense	0.01	2	esmda	4	3	4	60	0.2	0.1905534309	0.009446569148
dense	0.01	2	esmda	4	4	1	61	0.2	0.2048178371	0.004817837091
dense	0.01	2	esmda	4	4	2	62	0.48	0.3107781852	0.1692218148
dense	0.01	2	esmda	4	4	3	63	0.22	0.3580062744	0.1380062744
dense	0.01	2	esmda	4	4	4	64	0.1	0.1263977034	0.02639770338
dense	0.01	2	map_lbfgs	1	1	1	1	0.1	0.1785974038	0.07859740383
dense	0.01	2	map_lbfgs	1	1	2	2	0.12	0.1585913182	0.03859131818
dense	0.01	2	map_lbfgs	1	1	3	3	0.5	0.2904519037	0.2095480963
dense	0.01	2	map_lbfgs	1	1	4	4	0.28	0.3723593743	0.09235937426
dense	0.01	2	map_lbfgs	1	2	1	5	0.08	0.1338025512	0.05380255124
dense	0.01	2	map_lbfgs	1	2	2	6	0.18	0.1468912964	0.03310870356
dense	0.01	2	map_lbfgs	1	2	3	7	0.22	0.4621698974	0.2421698974
dense	0.01	2	map_lbfgs	1	2	4	8	0.52	0.257136255	0.262863745
dense	0.01	2	map_lbfgs	1	3	1	9	0.42	0.3305039852	0.08949601477
dense	0.01	2	map_lbfgs	1	3	2	10	0.24	0.2161221366	0.02387786336
dense	0.01	2	map_lbfgs	1	3	3	11	0.08	0.1419011506	0.0619011506
dense	0.01	2	map_lbfgs	1	3	4	12	0.26	0.3114727275	0.05147272753
dense	0.01	2	map_lbfgs	1	4	1	13	0.2	0.1345918649	0.06540813507
dense	0.01	2	map_lbfgs	1	4	2	14	0.46	0.47190319	0.01190318997
dense	0.01	2	map_lbfgs	1	4	3	15	0.24	0.1878363814	0.05216361865
dense	0.01	2	map_lbfgs	1	4	4	16	0.1	0.2056685637	0.1056685637
dense	0.01	2	map_lbfgs	2	1	1	17	0.18	0.1536687142	0.02633128581
dense	0.01	2	map_lbfgs	2	1	2	18	0.08	0.2669048402	0.1869048402
dense	0.01	2	map_lbfgs	2	1	3	19	0.16	0.2757154393	0.1157154393
dense	0.01	2	map_lbfgs	2	1	4	20	0.58	0.3037110063	0.2762889937
dense	0.01	2	map_lbfgs	2	2	1	21	0.14	0.1304767267	0.009523273304
dense	0.01	2	map_lbfgs	2	2	2	22	0.1	0.2660235976	0.1660235976
dense	0.01	2	map_lbfgs	2	2	3	23	0.56	0.2708276164	0.2891723836
dense	0.01	2	map_lbfgs	2	2	4	24	0.2	0.3326720593	0.1326720593
dense	0.01	2	map_lbfgs	2	3	1	25	0.48	0.4674384571	0.01256154286
dense	0.01	2	map_lbfgs	2	3	2	26	0.2	0.1342340969	0.06576590309
dense	0.01	2	map_lbfgs	2	3	3	27	0.08	0.1419669051	0.06196690514
dense	0.01	2	map_lbfgs	2	3	4	28	0.24	0.2563605408	0.01636054081
dense	0.01	2	map_lbfgs	2	4	1	29	0.18	0.247819686	0.06781968598
dense	0.01	2	map_lbfgs	2	4	2	30	0.42	0.2642110969	0.1557889031
dense	0.01	2	map_lbfgs	2	4	3	31	0.3	0.2794233764	0.02057662359
dense	0.01	2	map_lbfgs	2	4	4	32	0.1	0.2085458407	0.1085458407
dense	0.01	2	map_lbfgs	3	1	1	33	0.16	0.2474499274	0.08744992744
dense	0.01	2	map_lbfgs	3	1	2	34	0.18	0.2474499274	0.06744992744
dense	0.01	2	map_lbfgs	3	1	3	35	0.42	0.2555808144	0.1644191856
dense	0.01	2	map_lbfgs	3	1	4	36	0.24	0.2495193307	0.009519330749
dense	0.01	2	map_lbfgs	3	2	1	37	0.1	0.2478717085	0.1478717085
dense	0.01	2	map_lbfgs	3	2	2	38	0.22	0.2478717085	0.02787170851
dense	0.01	2	map_lbfgs	3	2	3	39	0.18	0.2546657165	0.07466571648
dense	0.01	2	map_lbfgs	3	2	4	40	0.5	0.2495908665	0.2504091335
dense	0.01	2	map_lbfgs	3	3	1	41	0.44	0.2481012344	0.1918987656
dense	0.01	2	map_lbfgs	3	3	2	42	0.18	0.2481012344	0.06810123436
dense	0.01	2	map_lbfgs	3	3	3	43	0.1	0.2541647161	0.1541647161
dense	0.01	2	map_lbfgs	3	3	4	44	0.28	0.2496328151	0.03036718486
dense	0.01	2	map_lbfgs	3	4	1	45	0.22	0.2477010336	0.02770103361
dense	0.01	2	map_lbfgs	3	4	2	46	0.4	0.2477010336	0.1522989664
dense	0.01	2	map_lbfgs	3	4	3	47	0.26	0.2550336009	0.004966399095
dense	0.01	2	map_lbfgs	3	4	4	48	0.12	0.2495643319	0.1295643319
dense	0.01	2	map_lbfgs	4	1	1	49	0.12	0.1401267623	0.02012676234
dense	0.01	2	map_lbfgs	4	1	2	50	0.16	0.1964097476	0.03640974756
dense	0.01	2	map_lbfgs	4	1	3	51	0.54	0.3345812924	0.2054187076
dense	0.01	2	map_lbfgs	4	1	4	52	0.18	0.3288821977	0.1488821977
dense	0.01	2	map_lbfgs	4	2	1	53	0.16	0.148304884	0.01169511598
dense	0.01	2	map_lbfgs	4	2	2	54	0.1	0.1568919651	0.05689196509
dense	0.01	2	map_lbfgs	4	2	3	55	0.2	0.2808637037	0.08086370369
dense	0.01	2	map_lbfgs	4	2	4	56	0.54	0.4139394472	0.1260605528
dense	0.01	2	map_lbfgs	4	3	1	57	0.46	0.4648682503	0.004868250335
dense	0.01	2	map_lbfgs	4	3	2	58	0.24	0.1902959838	0.04970401617
dense	0.01	2	map_lbfgs	4	3	3	59	0.1	0.148760337	0.04876033702
dense	0.01	2	map_lbfgs	4	3	4	60	0.2	0.1960754288	0.003924571183
dense	0.01	2	map_lbfgs	4	4	1	61	0.2	0.1913112835	0.008688716467
dense	0.01	2	map_lbfgs	4	4	2	62	0.48	0.4155731086	0.06442689142
dense	0.01	2	map_lbfgs	4	4	3	63	0.22	0.2788149955	0.05881499555
dense	0.01	2	map_lbfgs	4	4	4	64	0.1	0.1143006123	0.01430061233
dense	0.01	3	esmda	1	1	1	1	0.1	0.288435022	0.188435022
dense	0.01	3	esmda	1	1	2	2	0.12	0.1107310889	0.009268911058
dense	0.01	3	esmda	1	1	3	3	0.5	0.300804266	0.199195734
dense	0.01	3	esmda	1	1	4	4	0.28	0.300029623	0.02002962301
dense	0.01	3	esmda	1	2	1	5	0.08	0.2035913259	0.1235913259
dense	0.01	3	esmda	1	2	2	6	0.18	0.1252291364	0.05477086365
dense	0.01	3	esmda	1	2	3	7	0.22	0.4485063945	0.2285063945
dense	0.01	3	esmda	1	2	4	8	0.52	0.2226731433	0.2973268567
dense	0.01	3	esmda	1	3	1	9	0.42	0.2133687647	0.2066312353
dense	0.01	3	esmda	1	3	2	10	0.24	0.2893876287	0.04938762866
dense	0.01	3	esmda	1	3	3	11	0.08	0.09133919302	0.01133919302
dense	0.01	3	esmda	1	3	4	12	0.26	0.4059044136	0.1459044136
dense	0.01	3	esmda	1	4	1	13	0.2	0.07473891348	0.1252610865
dense	0.01	3	esmda	1	4	2	14	0.46	0.4614320997	0.001432099668
dense	0.01	3	esmda	1	4	3	15	0.24	0.2383968555	0.001603144478
dense	0.01	3	esmda	1	4	4	16	0.1	0.2254321313	0.1254321313
dense	0.01	3	esmda	2	1	1	17	0.18	0.1317052229	0.04829477708
dense	0.01	3	esmda	2	1	2	18	0.08	0.1043686078	0.02436860777
dense	0.01	3	esmda	2	1	3	19	0.16	0.4028458183	0.2428458183
dense	0.01	3	esmda	2	1	4	20	0.58	0.361080351	0.218919649
dense	0.01	3	esmda	2	2	1	21	0.14	0.1483814454	0.008381445377
dense	0.01	3	esmda	2	2	2	22	0.1	0.3508789427	0.2508789427
dense	0.01	3	esmda	2	2	3	23	0.56	0.1920278474	0.3679721526
dense	0.01	3	esmda	2	2	4	24	0.2	0.3087117645	0.1087117645
dense	0.01	3	esmda	2	3	1	25	0.48	0.5170841137	0.03708411366
dense	0.01	3	esmda	2	3	2	26	0.2	0.117063028	0.08293697199
dense	0.01	3	esmda	2	3	3	27	0.08	0.1404861544	0.06048615436
dense	0.01	3	esmda	2	3	4	28	0.24	0.225366704	0.01463329603
dense	0.01	3	esmda	2	4	1	29	0.18	0.1729798252	0.007020174799
dense	0.01	3	esmda	2	4	2	30	0.42	0.4274143364	0.007414336449
dense	0.01	3	esmda	2	4	3	31	0.3	0.1790003259	0.1209996741
dense	0.01	3	esmda	2	4	4	32	0.1	0.2206055125	0.1206055125
dense	0.01	3	esmda	3	1	1	33	0.16	0.3308535894	0.1708535894
dense	0.01	3	esmda	3	1	2	34	0.18	0.2927490994	0.1127490994
dense	0.01	3	esmda	3	1	3	35	0.42	0.184764082	0.235235918
dense	0.01	3	esmda	3	1	4	36	0.24	0.1916332292	0.04836677082
dense	0.01	3	esmda	3	2	1	37	0.1	0.4123723531	0.3123723531
