density	noise_sigma	noise_seed	scenario_count	observation_count	observation_multiplier	floor_fraction	ensemble_size	esmda_maxiters	esmda_solve_seconds	diagnostics_seconds	turning_rmse	turning_interval_coverage	turning_interval_width_mean	turning_interval_width_max	predictive_rmse_mean_parameter	predictive_rmse_ensemble_mean	predictive_interval_coverage	predictive_interval_width_mean	predictive_interval_width_max	final_state_rmse_mean_parameter_all	final_state_rmse_mean_parameter_observed	final_state_rmse_mean_parameter_unobserved	final_state_rmse_ensemble_mean_all	final_state_rmse_ensemble_mean_observed	final_state_rmse_ensemble_mean_unobserved	final_state_interval_coverage_all	final_state_interval_coverage_observed	final_state_interval_coverage_unobserved	final_state_interval_width_mean_all	final_state_interval_width_mean_observed	final_state_interval_width_mean_unobserved	final_state_interval_width_max_all	final_state_interval_width_max_observed	final_state_interval_width_max_unobserved
sparse	0.08	3	12	864	3	0.15	192	6	132.1760406	45.7722391	0.1523846168	0.9375	0.6142833575	0.8064825489	0.004310316518	0.003813189617	0.6886574074	0.003017346903	0.0842019506	0.04842171731	0.04567026546	0.04991309437	0.04478430117	0.04735774914	0.04318451378	0.5918367347	0.5816210046	0.597899729	0.06885667697	0.06262254198	0.07255661075	0.6956679932	0.6956679932	0.6238788445
sparse	0.2	1	12	864	3	0.15	192	6	153.1130816	53.6879553	0.216629937	0.859375	0.5562632612	0.8420276055	0.03481887214	0.03476862862	0.2152777778	0.002523586118	0.0757582002	0.08791857074	0.1056703988	0.07526888357	0.09026997738	0.1082883786	0.07762290873	0.2093962585	0.1404109589	0.2503387534	0.05897630644	0.04500620609	0.06726750421	0.7233267155	0.7233267155	0.6247942569
sparse	0.2	2	12	864	3	0.15	192	6	146.2788412	51.9503099	0.1849878294	0.921875	0.5985301599	0.8518391629	0.01509490663	0.01734030707	0.3831018519	0.00442000575	0.120308908	0.04838906906	0.05696512872	0.04240010516	0.06077953568	0.07107228133	0.05374670602	0.3178146259	0.2437214612	0.3617886179	0.07080921823	0.06131380092	0.07644470981	0.7372175822	0.7372175822	0.6781365897
sparse	0.2	3	12	864	3	0.15	192	6	146.2969205	54.8969537	0.162708494	0.921875	0.6121592172	0.8366379942	0.01480503854	0.01739966107	0.3946759259	0.004684625175	0.1274300384	0.04736732267	0.05795093864	0.03956419979	0.05786001484	0.06956472291	0.04962459387	0.3231292517	0.24543379	0.3692411924	0.07042476804	0.06185079097	0.07551338858	0.7257908054	0.7257908054	0.6378234165
sparse	0.4	1	12	864	3	0.15	192	6	161.9399319	55.7601587	0.1984888029	0.921875	0.5819631671	0.8504755904	0.03308605882	0.03289692281	0.2337962963	0.003465585609	0.08805194143	0.0832701523	0.0972012286	0.07357180469	0.08365446594	0.09860595628	0.07335362776	0.2327806122	0.1889269406	0.2588075881	0.06384429785	0.05322075412	0.07014932787	0.7386575943	0.7386575943	0.6496087008
sparse	0.4	2	12	864	3	0.15	192	6	155.9076246	53.9919454	0.1835705864	0.921875	0.601251056	0.8551302105	0.02587084559	0.02648839703	0.2662037037	0.004378644264	0.1072755768	0.06469393426	0.07817395434	0.05498853021	0.07050605579	0.08424566317	0.06090317162	0.262755102	0.1974885845	0.3014905149	0.0691202365	0.05848858329	0.07543007946	0.7291179184	0.7291179184	0.6259919193
sparse	0.4	3	12	864	3	0.15	192	6	151.7221711	57.2868	0.1955721678	0.90625	0.5862037335	0.8574195565	0.03227594311	0.03212557432	0.2407407407	0.003717066566	0.09274845415	0.07854017652	0.09404456451	0.06745592345	0.08095849587	0.09635603219	0.07024180639	0.2485119048	0.196347032	0.2794715447	0.06503073322	0.05408307653	0.07152812297	0.7282233061	0.7282233061	0.6568930517
minimal	0.01	1	12	192	0.6666666667	0.15	192	6	132.3474235	46.0163146	0.1484918121	0.9375	0.5988150087	0.815638353	0.008943472897	0.001922494397	0.8333333333	0.006203097582	0.03935004084	0.05047902237	0.06820141031	0.04884565146	0.04250207985	0.06770810891	0.04031445656	0.5916241497	0.8229166667	0.5765398551	0.06415075787	0.1013969185	0.06172166044	0.7101991916	0.7101991916	0.6104444953
minimal	0.01	2	12	192	0.6666666667	0.15	192	6	135.8387617	45.7687317	0.1483583309	0.953125	0.597522045	0.8235104689	0.009017536662	0.0006467077509	0.859375	0.005658647517	0.04101684631	0.04875165597	0.06323844016	0.04736681168	0.04097361259	0.06285210858	0.03912406322	0.6058673469	0.8645833333	0.5889945652	0.0642423956	0.09896847453	0.06197765132	0.7155959109	0.7155959109	0.6230973341
minimal	0.01	3	12	192	0.6666666667	0.15	192	6	144.7315912	51.0357991	0.1511747641	0.9375	0.5955389361	0.8215103005	0.008913194339	0.001375029713	0.875	0.005485740784	0.037571279	0.04704183169	0.05862047832	0.04593217511	0.04024548852	0.06249954516	0.03834814449	0.612670068	0.8715277778	0.5957880435	0.06375323335	0.09775871936	0.06153548426	0.7149493456	0.7149493456	0.6209113029
minimal	0.08	1	12	192	0.6666666667	0.15	192	6	138.4825062	45.1957259	0.150360747	0.9375	0.6140112781	0.7829166607	0.007808485701	0.0124369872	0.59375	0.01256139938	0.08637186941	0.04743707834	0.06010665638	0.04622181064	0.04559292959	0.0756819493	0.04290377856	0.4674744898	0.5625	0.4612771739	0.06852408001	0.1202395688	0.06515133074	0.707288686	0.707288686	0.6498999675
minimal	0.08	2	12	192	0.6666666667	0.15	192	6	133.0545914	45.0411946	0.151552047	0.9375	0.6124924358	0.7933720317	0.008203585074	0.01898748774	0.5	0.01241981421	0.08107153841	0.04289382869	0.05779285309	0.04143339925	0.04768191244	0.08589387994	0.04405317885	0.4213435374	0.5034722222	0.4159873188	0.06807395331	0.1095989984	0.06536579819	0.7207624344	0.7207624344	0.6576376272
minimal	0.08	3	12	192	0.6666666667	0.15	192	6	138.1027581	48.1223644	0.1522582871	0.9375	0.6130860111	0.7986907487	0.01308242004	0.02058554613	0.5260416667	0.01204769265	0.0765328648	0.0463276558	0.06914011211	0.0442514776	0.04828063073	0.08773738455	0.04450852383	0.4483418367	0.5243055556	0.4433876812	0.06821684819	0.1118899438	0.06536860282	0.7252078312	0.7252078312	0.649992959
minimal	0.2	1	12	192	0.6666666667	0.15	192	6	157.2906585	57.0419081	0.1805456474	0.890625	0.5821504526	0.8400563462	0.05714253031	0.05804090533	0.1979166667	0.01425217329	0.09614805902	0.07261199276	0.1388401911	0.06596311075	0.07508124048	0.1485452245	0.06757047686	0.2448979592	0.1736111111	0.2495471014	0.0628786936	0.09892168112	0.06052806398	0.7337215297	0.7337215297	0.6621347221
