density	noise_sigma	noise_seed	method	scenario_count	observation_count	observation_multiplier	floor_fraction	mean_clip_fraction	max_clip_fraction	turning_rmse	turning_mae	turning_max_abs_error	turning_rmse_j1	turning_rmse_j2	turning_rmse_j3	turning_rmse_j4	predictive_rmse	fit_rmse	normalized_fit_rmse	weighted_loss	final_state_rmse_all	final_state_rmse_observed	final_state_rmse_unobserved	requested_budget	solve_seconds	iterations	ensemble_size	esmda_maxiters	adam_time_limit_seconds	adam_best_loss	adam_final_loss	adam_best_iter	adam_final_raw_grad_norm	adam_loss_tail_relspan	adam_grad_tail_relspan	turning_interval_width_mean	turning_interval_width_max	turning_interval_coverage
dense	0.4	3	map_lbfgs	12	3456	12	0.15	0.2097800926	0.25	0.2015177223	0.1517414655	0.5074150301	0.2272464045	0.2099887761	0.1248449074	0.2260864973	0.06032671652	0.2595025321	2.872128524	14254.48326	0.07177251905	0.08131791261	0.06506387813	300	301.4430001	114	0	0	NaN	14271.97864	14271.97864	114	NaN	1.306118713e-06	NaN	NaN	NaN	NaN
sparse	0.01	1	esmda	12	864	3	0.15	0	0	0.1437250413	0.1171409993	0.3184788112	0.1570229211	0.1529740769	0.1270277347	0.1357727466	0.001303575934	0.007698081341	1.053473534	479.4364026	0.03790970639	0.03535862564	0.03923690147	1152	134.068462	6	192	6	NaN	NaN	NaN	0	NaN	NaN	NaN	0.5926372988	0.7630560892	0.953125
sparse	0.01	1	map_lbfgs	12	864	3	0.15	0	0	0.1552962681	0.1272230262	0.3500136684	0.1636063112	0.1629344466	0.121860576	0.1682351467	0.0002101152856	0.007591640021	1.034424369	462.2545913	0.03515792259	0.03458615214	0.03535995086	300	300.444	113	0	0	NaN	462.563875	462.563875	113	NaN	1.91436164e-05	NaN	NaN	NaN	NaN
sparse	0.01	2	esmda	12	864	3	0.15	0	0	0.1483341729	0.1203665286	0.3221805077	0.1620360263	0.1582917695	0.1235788571	0.1463844778	0.0006363049043	0.007379222628	1.009625544	440.3564957	0.03920759272	0.03819067749	0.03971730518	1152	135.5052037	6	192	6	NaN	NaN	NaN	0	NaN	NaN	NaN	0.5974095545	0.8006876511	0.9375
sparse	0.01	2	map_lbfgs	12	864	3	0.15	0	0	0.1511637248	0.1240426702	0.3248462846	0.1583242187	0.1646640843	0.1218605954	0.1561123416	0.0001903038321	0.007367377469	1.007504047	438.5078229	0.03025705575	0.02603330211	0.03249214396	300	169.3859999	78	0	0	NaN	438.7247242	438.7247242	78	NaN	2.489724265e-09	NaN	NaN	NaN	NaN
sparse	0.01	3	esmda	12	864	3	0.15	0	0	0.1471768583	0.1194547054	0.3148862895	0.1582536113	0.1572073839	0.1240274185	0.1466388179	0.0009668005724	0.007252438017	1.005812413	437.0365199	0.03811740669	0.03612445335	0.03913124148	1152	133.8844118	6	192	6	NaN	NaN	NaN	0	NaN	NaN	NaN	0.5984014895	0.7712428464	0.9375
sparse	0.01	3	map_lbfgs	12	864	3	0.15	0	0	0.1505450043	0.1228202303	0.3828231096	0.1478410117	0.1732605827	0.1218605759	0.1546900098	0.0003195937779	0.007195721663	0.9951328107	427.8049823	0.03308131571	0.03061039007	0.03443708343	300	302.1259999	136	0	0	NaN	428.144753	428.144753	136	NaN	1.126929519e-08	NaN	NaN	NaN	NaN
sparse	0.08	1	esmda	12	864	3	0.15	0	0	0.1558368952	0.1289825029	0.4084166972	0.1628845474	0.1759732955	0.1290677282	0.1516050681	0.007373950029	0.06126457011	1.281660027	709.6258478	0.0465721699	0.05237815774	0.04267910483	1152	134.7569355	6	192	6	NaN	NaN	NaN	0	NaN	NaN	NaN	0.6142863943	0.8031713999	0.9375
sparse	0.08	1	map_lbfgs	12	864	3	0.15	0	0	0.1494193108	0.1221418893	0.3313990888	0.1503303408	0.1634461853	0.1218607686	0.1585579009	0.006546224254	0.06117416618	1.283140702	711.2664264	0.02960748629	0.03064349965	0.02876821853	300	35.02200007	15	0	0	NaN	711.5051495	711.5051495	15	NaN	0.01454334135	NaN	NaN	NaN	NaN
sparse	0.08	2	esmda	12	864	3	0.15	0	0	0.1546977274	0.1281547902	0.3896474846	0.1640704786	0.1732824666	0.1279063087	0.1497317218	0.005705993824	0.05915704137	1.287404813	716.0016179	0.04485270103	0.04900288057	0.04212967275	1152	132.3220784	6	192	6	NaN	NaN	NaN	0	NaN	NaN	NaN	0.6124055407	0.8162930371	0.9375
sparse	0.08	2	map_lbfgs	12	864	3	0.15	0	0	0.148355724	0.1213484752	0.3287285426	0.1498010242	0.1633971917	0.121860649	0.1550763572	0.004538502926	0.05910114482	1.287685561	716.313933	0.02796060037	0.02715547726	0.02834840463	300	33.49300003	15	0	0	NaN	716.4496398	716.4496398	15	NaN	0.008327598682	NaN	NaN	NaN	NaN
sparse	0.08	3	esmda	12	864	3	0.15	0	0	0.1523846168	0.1269145854	0.3835389049	0.1607935414	0.1689101114	0.1300383047	0.1469324209	0.003813189617	0.05783790344	1.268367281	694.9824014	0.04373116	0.04612018904	0.04219123059	1152	132.1760406	6	192	6	NaN	NaN	NaN	0	NaN	NaN	NaN	0.6142833575	0.8064825489	0.9375
