iteration,node_id,node_label,forward_incoming_road_id,forward_outgoing_road_id,forward_merged_road_id,reverse_incoming_road_id,reverse_outgoing_road_id,reverse_merged_road_id,road_type,lanes,speed_limit
38,2644190,J403,1353,1370,1353,1069,1352,1069,Enkel bilveg,1,40
39,2644193,J514,897,927,897,962,896,962,Enkel bilveg,1,40
40,2644223,J288,1697,1480,1697,1481,1698,1481,Enkel bilveg,2,60
41,2644253,J314,1551,1571,1551,1572,1552,1572,Enkel bilveg,2,60
42,2644266,J259,1682,1676,1682,1674,1683,1674,Enkel bilveg,2,60
43,2644277,J275,1481,1686,1481,1685,1697,1685,Enkel bilveg,2,60
44,2646611,J212,1949,1933,1949,1889,1950,1889,Enkel bilveg,1,40
45,2646617,J214,1811,2021,1811,2022,1812,2022,Enkel bilveg,1,40
46,2646619,J221,1817,1803,1817,1804,1818,1804,Enkel bilveg,1,40
47,2646620,J223,1831,1817,1831,1804,1832,1804,Enkel bilveg,1,40
48,2646624,J285,1613,1603,1613,1604,1610,1604,Enkel bilveg,1,40
49,2646625,J284,1630,1632,1630,1631,1629,1631,Enkel bilveg,1,40
50,2646630,J283,1547,1560,1547,1559,1546,1559,Enkel bilveg,1,40
51,2646633,J343,1398,1406,1398,1407,1399,1407,Enkel bilveg,1,40
52,2646634,J383,1227,1237,1227,1236,1229,1236,Enkel bilveg,1,40
53,2646637,J392,1265,1250,1265,1251,1266,1251,Enkel bilveg,1,40
54,2646721,J371,1195,1211,1195,1212,1196,1212,Enkel bilveg,1,60
55,2646752,J507,1039,1047,1039,1055,1038,1055,Enkel bilveg,2,60
56,2646776,J366,1276,1285,1276,1286,1277,1286,Enkel bilveg,1,60
57,2646821,J372,1243,1230,1243,1228,1242,1228,Enkel bilveg,1,60
58,2647273,J689,539,558,539,557,538,557,Enkel bilveg,1,40
59,2647992,J721,275,282,275,283,276,283,Enkel bilveg,1,40
60,2648061,J676,302,319,302,320,303,320,Enkel bilveg,1,40
61,2648063,J688,382,341,382,340,365,340,Enkel bilveg,1,40
62,2648128,J594,507,547,507,551,537,551,Enkel bilveg,2,60
63,2672629,J731,100,128,100,127,115,127,Enkel bilveg,1,40
64,2672631,J716,89,91,89,85,90,85,Enkel bilveg,1,40
65,2735688,J674,167,149,167,540,168,540,Enkel bilveg,1,40
66,2735694,J546,713,744,713,745,714,745,Enkel bilveg,1,40
67,2735695,J526,761,748,761,749,762,749,Enkel bilveg,1,60
68,2735698,J596,627,605,627,602,620,602,Enkel bilveg,1,40
69,2735701,J559,783,791,783,574,782,574,Enkel bilveg,1,40
70,2736147,J549,980,990,980,989,979,989,Enkel bilveg,1,40
71,2736150,J532,667,646,667,645,672,645,Enkel bilveg,1,40
72,2736154,J502,898,866,898,867,894,867,Enkel bilveg,1,40
73,2736161,J449,1116,1161,1116,1160,1115,1160,Enkel bilveg,1,40
74,2736162,J439,1075,1101,1075,1100,1074,1100,Enkel bilveg,1,40
75,2736163,J436,1100,1374,1100,1375,1075,1375,Enkel bilveg,1,40
76,2736164,J459,1081,1129,1081,1128,1095,1128,Enkel bilveg,1,40
77,2736174,J334,1521,1543,1521,1542,1537,1542,Enkel bilveg,1,40
78,2736175,J323,1586,1556,1586,1532,1582,1532,Enkel bilveg,1,40
79,2736176,J357,1565,1590,1565,1589,1564,1589,Enkel bilveg,1,40
80,2736194,J329,1587,1362,1587,1373,1588,1373,Enkel bilveg,2,60
81,2736815,J442,1260,1008,1260,1007,1259,1007,Enkel bilveg,1,40
