road_id,original_sim_road_id,road_label,upstream_node_id,upstream_node_label,upstream_kind,downstream_node_id,downstream_node_label,downstream_kind,lanes,speed_limit,blocks_12m,length_m,rounded_length_m,source_road_ids
25,45,R025: 627991 -> CN89,627991,J751,junction,CN89,J735,junction,2,40,14,163.729,168,r030
26,48,R026: CN89 -> 627991,CN89,J735,junction,627991,J751,junction,2,40,14,163.729,168,r030
31,92,R031: 1471821 -> 2672630,1471821,J720,junction,2672630,J727,junction,1,40,5,56.462,60,r051
32,95,R032: 3770650 -> 2672630,3770650,J728,junction,2672630,J727,junction,1,40,2,29.517,24,r053
33,98,R033: 2672630 -> 1471821,2672630,J727,junction,1471821,J720,junction,1,40,5,56.462,60,r051
34,99,R034: 2672630 -> 3770650,2672630,J727,junction,3770650,J728,junction,1,40,2,29.517,24,r053
36,103,R036: CN88 -> 2672176,CN88,J764,junction,2672176:terminal_downstream:36,J768d,boundary,1,40,3,33.928,36,r025
37,104,R037: 2672176 -> CN88,2672176:terminal_upstream:37,J768u,boundary,CN88,J764,junction,1,40,3,33.928,36,r025
38,105,R038: CN88 -> 1935603,CN88,J764,junction,1935603:terminal_downstream:38,J762d,boundary,1,40,3,35.225,36,r056
39,106,R039: 1935603 -> CN88,1935603:terminal_upstream:39,J762u,boundary,CN88,J764,junction,1,40,3,35.225,36,r056
41,111,R041: CN89 -> 2672641,CN89,J735,junction,2672641:terminal_downstream:41,J739d,boundary,1,40,1,10.470,12,r058
42,112,R042: 2672641 -> CN89,2672641:terminal_upstream:42,J739u,boundary,CN89,J735,junction,1,40,1,10.470,12,r058
43,123,R043: 2745084 -> 2745263,2745084,J715,junction,2745263,J717,junction,1,40,2,27.777,24,r063
44,124,R044: 2745263 -> 2745084,2745263,J717,junction,2745084,J715,junction,1,40,2,27.777,24,r063
45,125,R045: CN89 -> 627936:downstream:125,CN89,J735,junction,627936:downstream:125,B474d,boundary,2,40,8,100.430,96,r030
46,126,R046: 627936:upstream:126 -> CN89,627936:upstream:126,B474u,boundary,CN89,J735,junction,2,40,8,100.430,96,r030
49,134,R049: 2745083 -> 3748282,2745083:terminal_upstream:49,J706u,boundary,3748282,J714,junction,1,40,5,59.306,60,r066
50,136,R050: 3748282 -> 2745083,3748282,J714,junction,2745083:terminal_downstream:50,J706d,boundary,1,40,5,59.306,60,r066
52,144,R052: CN09 -> CN179,CN09,J644,junction,CN179,J642,junction,1,50,26,316.782,312,r069
53,157,R053: 457653 -> 457965,457653,J653,junction,457965,J682,junction,1,50,23,280.000,276,r080
54,161,R054: CN86 -> 457517,CN86,J610,junction,457517,J635,junction,2,60,32,380.523,384,r084
58,169,R058: RB31 -> 3289393,RB31,RB31,roundabout,3289393,J95,junction,1,40,1,7.855,12,r088
59,170,R059: 458366 -> RB31,458366,J730,junction,RB31,RB31,roundabout,1,60,2,23.475,24,r091
60,171,R060: 458214 -> 458366,458214,J705,junction,458366,J730,junction,1,60,19,231.667,228,r093
61,172,R061: 458366 -> 458214,458366,J730,junction,458214,J705,junction,1,60,19,231.667,228,r093
63,175,R063: 458451 -> RB31,458451,J742,junction,RB31,RB31,roundabout,1,40,2,26.059,24,r097
64,176,R064: CN180 -> CN182,CN180,J659,junction,CN182,J693,junction,2,80,26,310.830,312,r081
65,177,R065: RB31 -> 3289395,RB31,RB31,roundabout,3289395,J96,junction,1,60,1,7.612,12,r098
66,178,R066: RB31 -> 458410,RB31,RB31,roundabout,458410,J732,junction,1,60,3,34.404,36,r099
67,183,R067: 458410 -> 3289395,458410,J732,junction,3289395,J96,junction,1,60,2,27.237,24,r098
68,186,R068: 458410 -> 458461,458410,J732,junction,458461,J744,junction,1,60,25,297.886,300,r103
71,189,R071: 457748 -> CN181,457748,J661,junction,CN181,J667,junction,3,60,6,67.692,72,r105
72,190,R072: 457748 -> 457517,457748,J661,junction,457517,J635,junction,2,60,15,181.073,180,r084
75,197,R075: CN131 -> 456914,CN131,J612,junction,456914,J605,junction,1,40,7,79.694,84,r108
76,198,R076: 456914 -> CN131,456914,J605,junction,CN131,J612,junction,1,40,7,79.694,84,r108
77,200,R077: CN181 -> 457748,CN181,J667,junction,457748,J661,junction,1,60,5,61.365,60,r106
78,202,R078: CN131 -> CN131,CN131,J612,junction,CN131,J612,junction,1,40,3,41.957,36,r109
79,203,R079: CN181 -> 457877,CN181,J667,junction,457877,J675,junction,3,60,4,44.665,48,r105
80,204,R080: CN17 -> CN179,CN17,J680,junction,CN179,J642,junction,3,80,25,297.672,300,r085
81,205,R081: CN85 -> CN177,CN85,J641,junction,CN177,J639,junction,2,80,24,286.701,288,r074
82,207,R082: CN131 -> CN131,CN131,J612,junction,CN131,J612,junction,1,40,3,41.957,36,r109
84,210,R084: CN181 -> 457809,CN181,J667,junction,457809,J666,junction,1,40,1,15.393,12,r111
87,216,R087: CN85 -> CN140,CN85,J641,junction,CN140,J616,junction,1,50,36,435.103,432,r070
88,217,R088: 458214 -> 3078521,458214,J705,junction,3078521,J83,junction,1,60,2,27.737,24,r117
89,218,R089: 2648051 -> 2648052,2648051,J740,junction,2648052,J734,junction,1,40,6,68.813,72,r107
90,219,R090: 2648051 -> 2648052,2648051,J740,junction,2648052,J734,junction,1,40,8,93.512,96,r118
91,220,R091: 457809 -> CN181,457809,J666,junction,CN181,J667,junction,1,40,1,14.877,12,r112
92,221,R092: 2648052 -> 2648051,2648052,J734,junction,2648051,J740,junction,1,40,6,68.813,72,r107
93,222,R093: 457965 -> RB30,457965,J682,junction,RB30,RB30,roundabout,1,50,14,173.621,168,r119
94,223,R094: 457965 -> 458034,457965,J682,junction,458034,J690,junction,1,50,7,81.000,84,r080
95,224,R095: 2648052 -> 2648051,2648052,J734,junction,2648051,J740,junction,1,40,8,93.512,96,r118
96,225,R096: 457809 -> 1407842,457809,J666,junction,1407842:terminal_downstream:96,J673d,boundary,1,40,4,47.638,48,r121
97,226,R097: 457877 -> CN181,457877,J675,junction,CN181,J667,junction,1,60,4,42.041,48,r106
98,227,R098: 2791526:upstream:227 -> CN85,2791526:upstream:227,B434u,boundary,CN85,J641,junction,2,80,66,795.443,792,r115
99,228,R099: 457877 -> 458058,457877,J675,junction,458058,J692,junction,3,60,14,163.384,168,r084
100,229,R100: 1407842 -> 457809,1407842:terminal_upstream:100,J673u,boundary,457809,J666,junction,1,40,4,47.638,48,r121
101,230,R101: RB30 -> 458214,RB30,RB30,roundabout,458214,J705,junction,1,60,3,32.224,36,r116
102,231,R102: RB30 -> 3078521,RB30,RB30,roundabout,3078521,J83,junction,1,60,1,10.206,12,r117
103,234,R103: 457517 -> 457748,457517,J635,junction,457748,J661,junction,3,60,15,181.073,180,r084
105,236,R105: 457517 -> CN86,457517,J635,junction,CN86,J610,junction,2,60,32,380.523,384,r084
106,237,R106: RB30 -> 458034,RB30,RB30,roundabout,458034,J690,junction,1,50,12,141.409,144,r122
107,241,R107: 458259 -> CN75,458259,J712,junction,CN75,J704,junction,1,40,9,108.588,108,r131
108,242,R108: RB30 -> RB28,RB30,RB30,roundabout,RB28,RB28,roundabout,1,50,5,63.071,60,r132
109,243,R109: 458034 -> CN182,458034,J690,junction,CN182,J693,junction,1,50,3,36.000,36,r122
112,249,R112: 458259 -> 1407834,458259,J712,junction,1407834,J708,junction,1,40,5,54.793,60,r134
114,259,R114: 458058 -> 457877,458058,J692,junction,457877,J675,junction,1,60,14,163.384,168,r084
116,262,R116: RB28 -> 3289405,RB28,RB28,roundabout,3289405,J97,junction,1,40,1,6.892,12,r138
117,263,R117: RB28 -> RB30,RB28,RB28,roundabout,RB30,RB30,roundabout,1,50,5,59.492,60,r130
118,267,R118: CN75 -> 458259,CN75,J704,junction,458259,J712,junction,1,40,9,108.588,108,r131
119,268,R119: CN75 -> 1407834,CN75,J704,junction,1407834,J708,junction,1,40,5,57.680,60,r143
120,269,R120: 1407834 -> CN75,1407834,J708,junction,CN75,J704,junction,1,40,5,57.680,60,r143
121,272,R121: CN75 -> CN74,CN75,J704,junction,CN74,J703,junction,1,40,1,17.752,12,r145
122,273,R122: 458058 -> RB28,458058,J692,junction,RB28,RB28,roundabout,1,60,2,27.842,24,r146
123,274,R123: RB28 -> CN75,RB28,RB28,roundabout,CN75,J704,junction,1,40,1,16.910,12,r148
125,277,R125: CN74 -> RB28,CN74,J703,junction,RB28,RB28,roundabout,1,40,2,18.413,24,r149
126,279,R126: CN77 -> 2648060,CN77,J638,junction,2648060,J671,junction,1,40,18,215.058,216,r150
127,280,R127: 2648060 -> CN77,2648060,J671,junction,CN77,J638,junction,1,40,18,215.058,216,r150
128,281,R128: 458461 -> 458410,458461,J744,junction,458410,J732,junction,1,60,25,297.886,300,r103
130,289,R130: RB28 -> RB29,RB28,RB28,roundabout,RB29,RB29,roundabout,1,50,7,83.748,84,r157
132,291,R132: RB32 -> 3289385,RB32,RB32,roundabout,3289385,J94,junction,1,40,1,3.534,12,r155
133,292,R133: 458461 -> RB32,458461,J744,junction,RB32,RB32,roundabout,1,60,2,22.862,24,r159
134,295,R134: RB32 -> 1425306,RB32,RB32,roundabout,1425306,J755,junction,1,60,2,23.000,24,r162
135,296,R135: 1425306 -> RB32,1425306,J755,junction,RB32,RB32,roundabout,1,60,2,23.000,24,r162
136,297,R136: RB32 -> 458497,RB32,RB32,roundabout,458497,J746,junction,1,60,4,51.542,48,r164
137,298,R137: CN23 -> CN17,CN23,J738,junction,CN17,J680,junction,3,80,38,455.792,456,r085
138,301,R138: RB32 -> 3078524,RB32,RB32,roundabout,3078524,J84,junction,1,60,1,5.134,12,r166
140,304,R140: 2648060 -> 2648140,2648060,J671,junction,2648140:terminal_downstream:140,J660d,boundary,1,40,15,176.765,180,r167
141,305,R141: 2648140 -> 2648060,2648140:terminal_upstream:141,J660u,boundary,2648060,J671,junction,1,40,15,176.765,180,r167
142,306,R142: 458497 -> 3078524,458497,J746,junction,3078524,J84,junction,1,60,3,41.150,36,r166
143,307,R143: CN23 -> CN22,CN23,J738,junction,CN22,J713,junction,1,50,15,181.351,180,r168
146,312,R146: CN24 -> CN23,CN24,J745,junction,CN23,J738,junction,4,80,3,35.511,36,r085
147,317,R147: CN24 -> CN22,CN24,J745,junction,CN22,J713,junction,1,50,16,196.309,192,r174
148,325,R148: CN22 -> 458250,CN22,J713,junction,458250,J709,junction,1,50,2,25.149,24,r173
149,326,R149: CN22 -> RB29,CN22,J713,junction,RB29,RB29,roundabout,1,50,8,91.505,96,r168
150,327,R150: 458497 -> 458460,458497,J746,junction,458460,J743,junction,1,60,4,49.064,48,r178
151,332,R151: RB29 -> RB28,RB29,RB29,roundabout,RB28,RB28,roundabout,1,50,7,89.447,84,r153
152,333,R152: CN80 -> CN77,CN80,J636,junction,CN77,J638,junction,1,40,6,73.863,72,r108
153,334,R153: CN77 -> CN80,CN77,J638,junction,CN80,J636,junction,1,40,6,73.863,72,r108
154,335,R154: RB29 -> 458250,RB29,RB29,roundabout,458250,J709,junction,1,50,8,95.155,96,r172
155,339,R155: 458062 -> RB29,458062,J694,junction,RB29,RB29,roundabout,1,60,2,26.274,24,r181
156,346,R156: 458460 -> 458497,458460,J743,junction,458497,J746,junction,1,60,4,49.064,48,r178
157,347,R157: 458460 -> CN83,458460,J743,junction,CN83,J733,junction,1,40,3,37.735,36,r187
158,348,R158: 458460 -> RB33,458460,J743,junction,RB33,RB33,roundabout,1,60,3,32.936,36,r178
161,353,R161: CN83 -> 458460,CN83,J733,junction,458460,J743,junction,1,40,3,37.735,36,r187
163,358,R163: 458062 -> 2648102,458062,J694,junction,2648102,J686,junction,1,60,8,97.091,96,r191
164,359,R164: RB33 -> 458460,RB33,RB33,roundabout,458460,J743,junction,1,60,3,32.936,36,r178
165,366,R165: CN83 -> 3605684,CN83,J733,junction,3605684:terminal_downstream:165,J718d,boundary,1,40,13,161.758,156,r189
167,368,R167: 3605684 -> CN83,3605684:terminal_upstream:167,J718u,boundary,CN83,J733,junction,1,40,13,161.758,156,r189
168,373,R168: 2648102 -> 458062,2648102,J686,junction,458062,J694,junction,1,60,8,97.091,96,r191
169,378,R169: CN79 -> CN80,CN79,J647,junction,CN80,J636,junction,1,40,4,48.779,48,r141
170,379,R170: CN80 -> CN79,CN80,J636,junction,CN79,J647,junction,1,40,4,48.779,48,r141
172,383,R172: 2735697 -> CN93,2735697:terminal_upstream:172,J658u,boundary,CN93,J668,junction,1,40,8,97.506,96,r193
173,384,R173: 2648102 -> 457893,2648102,J686,junction,457893,J678,junction,1,60,7,79.651,84,r191
174,387,R174: CN79 -> CN93,CN79,J647,junction,CN93,J668,junction,1,40,13,151.621,156,r141
175,388,R175: CN79 -> 1405658,CN79,J647,junction,1405658,J650,junction,1,40,7,89.866,84,r202
176,389,R176: 1405658 -> CN79,1405658,J650,junction,CN79,J647,junction,1,40,7,89.866,84,r202
177,392,R177: CN93 -> 2735697,CN93,J668,junction,2735697:terminal_downstream:177,J658d,boundary,1,40,8,97.506,96,r193
178,393,R178: CN93 -> CN79,CN93,J668,junction,CN79,J647,junction,1,40,13,151.621,156,r141
179,394,R179: CN93 -> 457893,CN93,J668,junction,457893,J678,junction,1,40,6,68.440,72,r141
180,399,R180: 457893 -> 2648102,457893,J678,junction,2648102,J686,junction,1,60,7,79.651,84,r191
181,400,R181: 457893 -> CN93,457893,J678,junction,CN93,J668,junction,1,40,6,68.440,72,r141
182,401,R182: 457893 -> 457889,457893,J678,junction,457889,J677,junction,1,60,8,90.591,96,r191
183,402,R183: 457889 -> 457893,457889,J677,junction,457893,J678,junction,1,60,8,90.591,96,r191
184,403,R184: CN82 -> 2814040,CN82:terminal_upstream:184,J652u,boundary,2814040,J651,junction,1,40,1,7.435,12,r208
185,404,R185: 2814040 -> CN82,2814040,J651,junction,CN82:terminal_downstream:185,J652d,boundary,1,40,1,7.435,12,r208
187,406,R187: 3963200:upstream:406 -> 457889,3963200:upstream:406,B441u,boundary,457889,J677,junction,1,60,4,45.920,48,r191
188,407,R188: 457889 -> 3963200:downstream:407,457889,J677,junction,3963200:downstream:407,B441d,boundary,1,60,4,45.920,48,r191
190,416,R190: CN140 -> CN125,CN140,J616,junction,CN125,J542,junction,2,80,85,1019.339,1020,r212
191,419,R191: 2814044:upstream:419 -> 457622,2814044:upstream:419,B428u,boundary,457622,J648,junction,4,60,16,188.283,192,r216
192,426,R192: 2647265 -> 2647291,2647265:terminal_upstream:192,J702u,boundary,2647291,J700,junction,1,40,6,71.483,72,r222
193,427,R193: 2647291 -> 2647265,2647291,J700,junction,2647265:terminal_downstream:193,J702d,boundary,1,40,6,71.483,72,r222
196,440,R196: 2647261 -> 2647262,2647261,J670,junction,2647262:terminal_downstream:196,J672d,boundary,1,40,3,39.659,36,r229
197,441,R197: 2647262 -> 2647261,2647262:terminal_upstream:197,J672u,boundary,2647261,J670,junction,1,40,3,39.659,36,r229
198,442,R198: 2735692 -> 2735693,2735692,J569,junction,2735693,J566,junction,1,40,5,61.523,60,r230
199,443,R199: 2735693 -> 2735692,2735693,J566,junction,2735692,J569,junction,1,40,5,61.523,60,r230
200,445,R200: 2735692 -> 2735693,2735692,J569,junction,2735693,J566,junction,1,40,7,89.482,84,r231
201,446,R201: 2735693 -> 2735692,2735693,J566,junction,2735692,J569,junction,1,40,7,89.482,84,r231
202,448,R202: CN135 -> CN136,CN135,J592,junction,CN136,J345,junction,1,40,238,2858.846,2856,r215
203,449,R203: 457792 -> 2647261,457792,J664,junction,2647261,J670,junction,1,40,3,40.756,36,r228
204,450,R204: 2647261 -> 457792,2647261,J670,junction,457792,J664,junction,1,40,3,40.756,36,r228
207,458,R207: 456216 -> 456321,456216,J563,junction,456321,J568,junction,2,60,9,109.666,108,r235
209,462,R209: 2647261 -> CN73,2647261,J670,junction,CN73,J683,junction,1,40,7,89.199,84,r228
210,463,R210: CN73 -> 2647261,CN73,J683,junction,2647261,J670,junction,1,40,7,89.199,84,r228
211,464,R211: CN134 -> 3921004:downstream:464,CN134,J595,junction,3921004:downstream:464,B424d,boundary,1,40,48,576.477,576,r239
212,467,R212: 3920991:upstream:467 -> CN135,3920991:upstream:467,B423u,boundary,CN135,J592,junction,1,40,48,575.309,576,r241
213,469,R213: 457669 -> 2647256,457669,J654,junction,2647256,J656,junction,1,40,7,85.759,84,r073
214,470,R214: 2647256 -> 457669,2647256,J656,junction,457669,J654,junction,1,40,7,85.759,84,r073
217,483,R217: 456321 -> 456216,456321,J568,junction,456216,J563,junction,2,60,9,109.666,108,r235
218,484,R218: 456321 -> 1240849,456321,J568,junction,1240849:terminal_downstream:218,J576d,boundary,1,40,13,151.590,156,r250
220,487,R220: 457944 -> CN73,457944,J681,junction,CN73,J683,junction,1,40,8,100.910,96,r078
221,488,R221: CN73 -> 457944,CN73,J683,junction,457944,J681,junction,1,40,8,100.910,96,r078
222,489,R222: 1240849 -> 456321,1240849:terminal_upstream:222,J576u,boundary,456321,J568,junction,1,40,13,151.590,156,r250
223,492,R223: CN178 -> 2814046:downstream:492,CN178,J643,junction,2814046:downstream:492,B427d,boundary,2,60,16,190.494,192,r217
224,495,R224: 457622 -> CN09,457622,J648,junction,CN09,J644,junction,7,60,4,43.273,48,r216
225,496,R225: 457622 -> CN09,457622,J648,junction,CN09,J644,junction,1,60,4,43.260,48,r253
226,497,R226: 457622 -> CN10,457622,J648,junction,CN10,J645,junction,1,60,4,43.047,48,r254
227,498,R227: 457622 -> CN09,457622,J648,junction,CN09,J644,junction,1,60,4,44.374,48,r255
228,499,R228: CN177 -> CN178,CN177,J639,junction,CN178,J643,junction,2,60,3,37.440,36,r217
229,513,R229: CN116 -> CN176,CN116,J619,junction,CN176,J631,junction,2,80,12,142.629,144,r081
231,515,R231: CN116 -> 457267,CN116,J619,junction,457267,J624,junction,1,50,8,90.209,96,r082
232,516,R232: CN09 -> CN10,CN09,J644,junction,CN10,J645,junction,1,50,1,5.685,12,r268
234,519,R234: CN10 -> CN180,CN10,J645,junction,CN180,J659,junction,1,50,18,210.087,216,r076
235,520,R235: CN09 -> 457653,CN09,J644,junction,457653,J653,junction,1,50,9,113.778,108,r276
236,521,R236: CN09 -> 457561,CN09,J644,junction,457561,J640,junction,1,80,11,134.911,132,r074
239,533,R239: 457267 -> CN178,457267,J624,junction,CN178,J643,junction,1,50,21,249.000,252,r258
240,534,R240: 457267 -> 457561,457267,J624,junction,457561,J640,junction,1,50,21,253.065,252,r082
242,545,R242: CN176 -> CN180,CN176,J631,junction,CN180,J659,junction,2,80,26,315.867,312,r081
243,546,R243: CN176 -> 457653,CN176,J631,junction,457653,J653,junction,1,50,19,231.788,228,r080
246,552,R246: 456848 -> CN86,456848,J599,junction,CN86,J610,junction,2,60,9,102.095,108,r235
247,553,R247: 2735691 -> 2648106,2735691:terminal_upstream:247,J584u,boundary,2648106,J585,junction,1,40,1,11.248,12,r280
248,554,R248: 2648106 -> 2670207,2648106,J585,junction,2670207,J589,junction,1,60,8,101.371,96,r084
249,555,R249: 2670207 -> 2648106,2670207,J589,junction,2648106,J585,junction,1,60,8,101.371,96,r084
250,556,R250: 2648106 -> 2735691,2648106,J585,junction,2735691:terminal_downstream:250,J584d,boundary,1,40,1,11.248,12,r280
251,559,R251: 2670206 -> 2648106,2670206,J582,junction,2648106,J585,junction,1,60,3,30.295,36,r084
252,560,R252: 2648106 -> 2670206,2648106,J585,junction,2670206,J582,junction,1,60,3,30.295,36,r084
253,562,R253: 3101148 -> 456482,3101148,J565,junction,456482,J577,junction,1,60,17,199.948,204,r084
254,563,R254: 456482 -> 3101148,456482,J577,junction,3101148,J565,junction,1,60,17,199.948,204,r084
255,564,R255: CN175 -> 2670208,CN175,J593,junction,2670208,J608,junction,1,60,10,119.832,120,r084
256,565,R256: 2670208 -> CN175,2670208,J608,junction,CN175,J593,junction,1,60,10,119.832,120,r084
258,567,R258: 2670207 -> CN175,2670207,J589,junction,CN175,J593,junction,1,60,2,22.249,24,r287
259,568,R259: CN175 -> 2670207,CN175,J593,junction,2670207,J589,junction,1,60,2,23.061,24,r288
260,569,R260: CN179 -> CN140,CN179,J642,junction,CN140,J616,junction,3,80,29,348.394,348,r085
261,571,R261: 2670206 -> CN174,2670206,J582,junction,CN174,J580,junction,1,60,3,32.325,36,r289
262,572,R262: CN86 -> 456848,CN86,J610,junction,456848,J599,junction,2,60,9,102.095,108,r235
264,575,R264: 2670208 -> CN86,2670208,J608,junction,CN86,J610,junction,1,60,1,17.840,12,r291
265,576,R265: CN174 -> 2670206,CN174,J580,junction,2670206,J582,junction,1,60,3,31.598,36,r290
266,582,R266: CN174 -> 456482,CN174,J580,junction,456482,J577,junction,1,60,1,9.239,12,r084
267,583,R267: CN174 -> 456502,CN174,J580,junction,456502,J578,junction,1,40,2,22.009,24,r296
268,584,R268: 456482 -> CN174,456482,J577,junction,CN174,J580,junction,1,60,1,9.239,12,r084
269,586,R269: 456502 -> 456482,456502,J578,junction,456482,J577,junction,1,40,2,23.281,24,r297
270,587,R270: 3101150 -> 456502,3101150,J581,junction,456502,J578,junction,1,40,3,35.002,36,r141
271,588,R271: 456502 -> 3101150,456502,J578,junction,3101150,J581,junction,1,40,3,35.002,36,r141
272,590,R272: 3101150 -> CN19,3101150,J581,junction,CN19,J598,junction,1,40,17,209.920,204,r141
277,601,R277: CN19 -> 3101150,CN19,J598,junction,3101150,J581,junction,1,40,17,209.920,204,r141
280,614,R280: 456616 -> CN106,456616,J587,junction,CN106:terminal_downstream:280,J575d,boundary,1,40,12,139.727,144,r300
281,615,R281: CN106 -> 456616,CN106:terminal_upstream:281,J575u,boundary,456616,J587,junction,1,40,12,139.727,144,r300
283,625,R283: 456616 -> 2737699,456616,J587,junction,2737699:terminal_downstream:283,J588d,boundary,1,40,4,44.206,48,r307
284,626,R284: 2737699 -> 456616,2737699:terminal_upstream:284,J588u,boundary,456616,J587,junction,1,40,4,44.206,48,r307
285,634,R285: CN117 -> CN116,CN117,J474,junction,CN116,J619,junction,2,80,142,1706.223,1704,r214
286,635,R286: CN125 -> CN141,CN125,J542,junction,CN141,J473,junction,2,80,58,694.995,696,r212
288,647,R288: 455584 -> CN95,455584:terminal_upstream:288,J524u,boundary,CN95,J530,junction,1,40,5,58.940,60,r317
289,650,R289: CN125 -> 455099,CN125,J542,junction,455099,J488,junction,1,50,45,536.000,540,r319
290,654,R290: 2735690 -> 2815447,2735690:terminal_upstream:290,J618u,boundary,2815447,J626,junction,1,40,15,175.760,180,r321
291,663,R291: 1915943 -> CN18,1915943:terminal_upstream:291,J602u,boundary,CN18,J606,junction,1,40,10,115.692,120,r325
294,673,R294: CN138 -> 1238835,CN138,J518,junction,1238835:terminal_downstream:294,J503d,boundary,1,40,20,240.677,240,r328
295,674,R295: 1238835 -> CN138,1238835:terminal_upstream:295,J503u,boundary,CN138,J518,junction,1,40,20,240.677,240,r328
297,681,R297: CN18 -> 1915943,CN18,J606,junction,1915943:terminal_downstream:297,J602d,boundary,1,40,10,115.692,120,r325
298,682,R298: 2815447 -> 2735690,2815447,J626,junction,2735690:terminal_downstream:298,J618d,boundary,1,40,15,175.760,180,r321
301,687,R301: 3822510 -> CN18,3822510,J591,junction,CN18,J606,junction,1,40,13,155.421,156,r333
302,688,R302: CN18 -> 3822510,CN18,J606,junction,3822510,J591,junction,1,40,13,155.421,156,r333
304,700,R304: 3966870 -> CN138,3966870,J522,junction,CN138,J518,junction,1,40,3,39.647,36,r340
305,701,R305: CN138 -> 3966870,CN138,J518,junction,3966870,J522,junction,1,40,3,39.647,36,r340
307,704,R307: 2739872 -> 3139727,2739872,J630,junction,3139727:terminal_downstream:307,J617d,boundary,1,40,12,138.431,144,r341
308,705,R308: 3139727 -> 2739872,3139727:terminal_upstream:308,J617u,boundary,2739872,J630,junction,1,40,12,138.431,144,r341
309,708,R309: 455782 -> 455566,455782,J538,junction,455566,J521,junction,2,60,15,185.350,180,r235
311,715,R311: CN133 -> 455782,CN133,J558,junction,455782,J538,junction,2,60,20,243.813,240,r235
312,716,R312: 455782 -> CN133,455782,J538,junction,CN133,J558,junction,2,60,20,243.813,240,r235
313,717,R313: CN138 -> 455566,CN138,J518,junction,455566,J521,junction,1,40,2,18.087,24,r346
314,725,R314: 455566 -> 455782,455566,J521,junction,455782,J538,junction,2,60,15,185.350,180,r235
315,727,R315: 1915946 -> 457046,1915946,J628,junction,457046,J614,junction,1,40,13,160.839,156,r349
316,728,R316: 457046 -> 1915946,457046,J614,junction,1915946,J628,junction,1,40,13,160.839,156,r349
317,729,R317: 3822510 -> 3966853,3822510,J591,junction,3966853,J586,junction,1,40,11,133.213,132,r351
318,730,R318: 3966853 -> 3822510,3966853,J586,junction,3822510,J591,junction,1,40,11,133.213,132,r351
319,731,R319: CN172 -> CN138,CN172,J516,junction,CN138,J518,junction,1,40,1,17.454,12,r345
320,734,R320: 455566 -> CN172,455566,J521,junction,CN172,J516,junction,2,60,1,7.598,12,r235
