id,node_id,node_label,node_type,rule_type,incoming,outgoing,turning_matrix,priority_ranks,alpha
85,3083404,J85,junction,turning,569 572,1307,"[[1.0], [1.0]]","[[1], [2]]",0.3
86,3083594,J86,junction,turning,438 442,1308,"[[1.0], [1.0]]","[[1], [2]]",0.3
87,3101148,J565,junction,turning,254 273 358,253 361 374,"[[0.4, 0.4, 0.2], [0.1, 0.1, 0.8], [0.4, 0.4, 0.2]]","[[1, 1, 1], [2, 2, 2], [3, 3, 3]]",0.3
88,3101150,J581,junction,turning,271 277 374,270 272 273,"[[0.4, 0.4, 0.2], [0.4, 0.4, 0.2], [0.1, 0.1, 0.8]]","[[1, 1, 1], [2, 2, 2], [3, 3, 3]]",0.3
89,3142193,J446,junction,turning,522 1269,497 1270,"[[0.8, 0.2], [0.2, 0.8]]","[[1, 1], [2, 2]]",0.3
90,3182400,J133,junction,turning,1013 1014,1029,"[[1.0], [1.0]]","[[1], [2]]",0.3
91,3204070,J409,junction,turning,495 1244,623 1243,"[[0.8, 0.2], [0.2, 0.8]]","[[1, 1], [2, 2]]",0.3
92,3225774,J77,junction,turning,1114 1116 1151,1126 1148 1150,"[[0.4, 0.2, 0.4], [0.1, 0.8, 0.1], [0.4, 0.2, 0.4]]","[[1, 1, 1], [3, 3, 3], [2, 2, 2]]",0.3
93,3225781,J41,junction,turning,1173 1288,1174 1287,"[[0.8, 0.2], [0.2, 0.8]]","[[1, 1], [2, 2]]",0.3
94,3289385,J94,junction,turning,131 132,1309,"[[1.0], [1.0]]","[[1], [2]]",0.3
95,3289393,J95,junction,turning,56 58,1310,"[[1.0], [1.0]]","[[1], [2]]",0.3
96,3289395,J96,junction,turning,65 67,1311,"[[1.0], [1.0]]","[[1], [2]]",0.3
97,3289405,J97,junction,turning,115 116,1312,"[[1.0], [1.0]]","[[1], [2]]",0.3
98,3289782,J98,junction,turning,782 784,1313,"[[1.0], [1.0]]","[[1], [2]]",0.3
99,3289793,J99,junction,turning,796 797,1314,"[[1.0], [1.0]]","[[1], [2]]",0.3
100,3289802,J100,junction,turning,742 743,1315,"[[1.0], [1.0]]","[[1], [2]]",0.3
101,3289806,J101,junction,turning,749 750,1316,"[[1.0], [1.0]]","[[2], [1]]",0.3
102,3289896,J102,junction,turning,472 474,1317,"[[1.0], [1.0]]","[[1], [2]]",0.3
103,3289900,J103,junction,turning,464 466,1318,"[[1.0], [1.0]]","[[1], [2]]",0.3
104,3289907,J104,junction,turning,560 561,1319,"[[1.0], [1.0]]","[[1], [2]]",0.3
105,3289915,J105,junction,turning,855 859,1320,"[[1.0], [1.0]]","[[2], [1]]",0.3
106,3290217,J106,junction,turning,943 952,1321,"[[1.0], [1.0]]","[[1], [2]]",0.3
107,3290220,J107,junction,turning,951 955,1322,"[[1.0], [1.0]]","[[1], [2]]",0.3
108,3290226,J108,junction,turning,961 968,1323,"[[1.0], [1.0]]","[[1], [2]]",0.3
109,3290230,J109,junction,turning,975 1007,1324,"[[1.0], [1.0]]","[[1], [2]]",0.3
110,3290238,J110,junction,turning,987 995,1325,"[[1.0], [1.0]]","[[1], [2]]",0.3
111,3290243,J111,junction,turning,1000 1001,1326,"[[1.0], [1.0]]","[[2], [1]]",0.3
112,3290936,J112,junction,turning,1005 1021,1327,"[[1.0], [1.0]]","[[1], [2]]",0.3
113,3290940,J113,junction,turning,1028 1030,1328,"[[1.0], [1.0]]","[[1], [2]]",0.3
114,3291645,J114,junction,turning,1086 1089,1329,"[[1.0], [1.0]]","[[1], [2]]",0.3
115,3291787,J115,junction,turning,1209 1214,1330,"[[1.0], [1.0]]","[[1], [2]]",0.3
116,3291789,J116,junction,turning,1212 1213,1331,"[[1.0], [1.0]]","[[1], [2]]",0.3
117,3291799,J117,junction,turning,902 903,1332,"[[1.0], [1.0]]","[[1], [2]]",0.3
118,3291800,J118,junction,turning,895 897,1333,"[[1.0], [1.0]]","[[1], [2]]",0.3
119,3291808,J119,junction,turning,1235 1237,1334,"[[1.0], [1.0]]","[[1], [2]]",0.3
120,3291810,J120,junction,turning,1234 1236,1335,"[[1.0], [1.0]]","[[1], [2]]",0.3
121,3291816,J121,junction,turning,1135 1140,1336,"[[1.0], [1.0]]","[[1], [2]]",0.3
122,3291818,J122,junction,turning,1144 1147,1337,"[[1.0], [1.0]]","[[1], [2]]",0.3
123,3294286,J123,junction,turning,880 882,1338,"[[1.0], [1.0]]","[[1], [2]]",0.3
124,3294427,J124,junction,turning,596 599,1339,"[[1.0], [1.0]]","[[1], [2]]",0.3
125,3294435,J125,junction,turning,589 594,1340,"[[1.0], [1.0]]","[[1], [2]]",0.3
126,3294450,J126,junction,turning,378 379,1341,"[[1.0], [1.0]]","[[1], [2]]",0.3
127,3311936,J46,junction,turning,1194 1256 1287,1193 1255 1288,"[[0.8, 0.1, 0.1], [0.1, 0.8, 0.1], [0.1, 0.1, 0.8]]","[[1, 1, 1], [2, 2, 2], [3, 3, 3]]",0.3
128,3342390,J79,junction,turning,1178 1190,1168 1188,"[[0.8, 0.2], [0.5, 0.5]]","[[1, 1], [2, 2]]",0.3
129,3342394,J69,junction,turning,1177 1192,1181 1185,"[[0.8, 0.2], [0.5, 0.5]]","[[1, 1], [2, 2]]",0.3
130,3342422,J130,junction,turning,1105 1112,1342,"[[1.0], [1.0]]","[[1], [2]]",0.3
131,3342425,J131,junction,turning,1111 1123,1343,"[[1.0], [1.0]]","[[1], [2]]",0.3
132,3342429,J80,junction,turning,1220,1196 1197,"[[0.2, 0.8]]","[[1, 1]]",0.3
133,3342457,J133,junction,turning,1188 1191,1344,"[[1.0], [1.0]]","[[1], [2]]",0.3
134,3342460,J91,junction,turning,1107 1126,1112 1114,"[[0.5, 0.5], [0.2, 0.8]]","[[2, 2], [1, 1]]",0.3
135,3342466,J135,junction,turning,1167 1170,1345,"[[1.0], [1.0]]","[[1], [2]]",0.3
136,3342467,J136,junction,turning,1185 1189,1346,"[[1.0], [1.0]]","[[1], [2]]",0.3
137,3342487,J72,junction,turning,1216,1195 1198,"[[0.2, 0.8]]","[[1, 1]]",0.3
138,3342493,J65,junction,turning,1150,1151 1161,"[[0.8, 0.2]]","[[1, 1]]",0.3
139,3342501,J139,junction,turning,1099 1104,1347,"[[1.0], [1.0]]","[[1], [2]]",0.3
140,3342502,J58,junction,turning,1169 1176,1170 1175,"[[0.5, 0.5], [0.2, 0.8]]","[[1, 1], [2, 2]]",0.3
141,3342505,J64,junction,turning,1181,1172 1177,"[[0.2, 0.8]]","[[1, 1]]",0.3
142,3551002,J330,junction,turning,670 1259,669 1260,"[[0.8, 0.2], [0.2, 0.8]]","[[1, 1], [2, 2]]",0.3
143,3581603,J90,junction,turning,1168 1184,1178 1182 1183,"[[0.4, 0.4, 0.2], [0.4, 0.4, 0.2]]","[[1, 1, 1], [2, 2, 2]]",0.3
144,3587470,J142,junction,turning,1076 1085,1059 1062,"[[0.2, 0.8], [0.8, 0.2]]","[[1, 1], [2, 2]]",0.3
145,3596884,J417,junction,turning,492 1282,493 1281,"[[0.8, 0.2], [0.2, 0.8]]","[[1, 1], [2, 2]]",0.3
146,3605101,J146,junction,turning,845 1059,1050,"[[1.0], [1.0]]","[[1], [2]]",0.3
147,3642193,J02,junction,turning,979 1290,978 1289,"[[0.8, 0.2], [0.2, 0.8]]","[[1, 1], [2, 2]]",0.3
148,3748282,J714,junction,turning,49 1249,50 1250,"[[0.8, 0.2], [0.2, 0.8]]","[[1, 1], [2, 2]]",0.3
149,3770650,J728,junction,turning,34 1285,32 1286,"[[0.8, 0.2], [0.2, 0.8]]","[[1, 1], [2, 2]]",0.3
150,3822510,J591,junction,turning,302 318 325,301 317 326,"[[0.8, 0.1, 0.1], [0.2, 0.4, 0.4], [0.2, 0.4, 0.4]]","[[1, 1, 1], [2, 2, 2], [3, 3, 3]]",0.3
151,3822554,J697,junction,turning,215 1257,206 1258,"[[0.8, 0.2], [0.2, 0.8]]","[[1, 1], [2, 2]]",0.3
152,3921005,J278,junction,turning,620 1248,1247,"[[1.0], [1.0]]","[[1], [2]]",0.3
153,3921008,J407,junction,turning,461 1253,1254,"[[1.0], [1.0]]","[[1], [2]]",0.3
154,3921009,J510,junction,turning,1298,461 1297,"[[0.2, 0.8]]","[[1, 1]]",0.3
155,3921011,J279,junction,turning,1247 1283,619 1248 1284,"[[0.1, 0.8, 0.1], [0.1, 0.1, 0.8]]","[[1, 1, 1], [2, 2, 2]]",0.3
156,3966853,J586,junction,turning,303 317 337,318 328 331,"[[0.4, 0.4, 0.2], [0.4, 0.4, 0.2], [0.1, 0.1, 0.8]]","[[1, 1, 1], [2, 2, 2], [3, 3, 3]]",0.3
157,3966867,J451,junction,turning,1265 1273,1266 1274,"[[0.8, 0.2], [0.2, 0.8]]","[[1, 1], [2, 2]]",0.3
158,3966870,J522,junction,turning,305 1297,304 1298,"[[0.8, 0.2], [0.2, 0.8]]","[[1, 1], [2, 2]]",0.3
159,4004427,J319,junction,turning,494,701 720,"[[0.8, 0.2]]","[[1, 1]]",0.3
160,4021138,J358,junction,turning,621,501 640,"[[0.8, 0.2]]","[[1, 1]]",0.3
161,451438,J05,junction,turning,915 923 928,920 922 925,"[[0.8, 0.1, 0.1], [0.2, 0.4, 0.4], [0.2, 0.4, 0.4]]","[[1, 1, 1], [2, 2, 2], [3, 3, 3]]",0.3
162,451450,J06,junction,turning,997 1019,1004 1005,"[[0.8, 0.2], [0.5, 0.5]]","[[1, 1], [2, 2]]",0.3
163,451463,J07,junction,turning,959 978 1004,958 979 997,"[[0.4, 0.2, 0.4], [0.1, 0.8, 0.1], [0.4, 0.2, 0.4]]","[[1, 1, 1], [2, 2, 2], [3, 3, 3]]",0.3
164,451469,J08,junction,turning,925 941,928 942,"[[0.8, 0.2], [0.5, 0.5]]","[[1, 1], [2, 2]]",0.3
165,451476,J09,junction,turning,1045,1040 1044,"[[0.2, 0.8]]","[[1, 1]]",0.3
166,451507,J13,junction,turning,942 958,941 959,"[[0.5, 0.5], [0.2, 0.8]]","[[1, 1], [2, 2]]",0.3
167,451508,J12,junction,turning,1044 1054 1153,1045 1083 1084,"[[0.4, 0.2, 0.4], [0.1, 0.8, 0.1], [0.4, 0.2, 0.4]]","[[1, 1, 1], [2, 2, 2], [3, 3, 3]]",0.3
168,451750,J30,junction,turning,945 1035 1048,948 1020 1022,"[[0.4, 0.2, 0.4], [0.1, 0.8, 0.1], [0.4, 0.2, 0.4]]","[[1, 1, 1], [2, 2, 2], [3, 3, 3]]",0.3
169,451777,J33,junction,turning,1022 1075 1083,1048 1053 1054,"[[0.8, 0.1, 0.1], [0.2, 0.4, 0.4], [0.2, 0.4, 0.4]]","[[1, 1, 1], [2, 2, 2], [3, 3, 3]]",0.3
170,451820,J39,junction,turning,916 930 937,924 929 933,"[[0.4, 0.2, 0.4], [0.1, 0.8, 0.1], [0.4, 0.2, 0.4]]","[[1, 1, 1], [2, 2, 2], [3, 3, 3]]",0.3
171,451873,J50,junction,turning,1020 1033 1039,1032 1035 1038,"[[0.2, 0.4, 0.4], [0.8, 0.1, 0.1], [0.2, 0.4, 0.4]]","[[1, 1, 1], [2, 2, 2], [3, 3, 3]]",0.3
172,451894,J53,junction,turning,1102 1118 1148,1101 1116 1117,"[[0.8, 0.1, 0.1], [0.2, 0.4, 0.4], [0.2, 0.4, 0.4]]","[[1, 1, 1], [2, 2, 2], [3, 3, 3]]",0.3
173,451996,J67,junction,turning,970 1009 1023,985 1010 1015,"[[0.4, 0.2, 0.4], [0.1, 0.8, 0.1], [0.4, 0.2, 0.4]]","[[1, 1, 1], [2, 2, 2], [3, 3, 3]]",0.3
174,452007,J68,junction,turning,1201 1207 1219,1205 1206 1208,"[[0.4, 0.4, 0.2], [0.4, 0.4, 0.2], [0.1, 0.1, 0.8]]","[[1, 1, 1], [2, 2, 2], [3, 3, 3]]",0.3
175,452039,J75,junction,turning,917 989 1024,980 988 990,"[[0.4, 0.4, 0.2], [0.4, 0.4, 0.2], [0.1, 0.1, 0.8]]","[[1, 1, 1], [2, 2, 2], [3, 3, 3]]",0.3
176,452162,J83,junction,turning,1187 1204 1205,1201 1202 1203,"[[0.4, 0.4, 0.2], [0.1, 0.1, 0.8], [0.4, 0.4, 0.2]]","[[1, 1, 1], [2, 2, 2], [3, 3, 3]]",0.3
177,452387,J109,junction,turning,976 991 1055,1027 1031 1034,"[[0.4, 0.2, 0.4], [0.1, 0.8, 0.1], [0.4, 0.2, 0.4]]","[[1, 1, 1], [2, 2, 2], [3, 3, 3]]",0.3
178,452450,J117,junction,turning,1125 1134,1130 1131,"[[0.5, 0.5], [0.8, 0.2]]","[[1, 1], [2, 2]]",0.3
179,452456,J118,junction,turning,938 950 953,947 949 951,"[[0.8, 0.1, 0.1], [0.1, 0.8, 0.1], [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]]","[[1, 1, 1], [2, 2, 2], [3, 3, 3]]",0.3
180,452474,J120,junction,turning,949 963,950 962,"[[0.8, 0.2], [0.5, 0.5]]","[[1, 1], [2, 2]]",0.3
181,452524,J128,junction,turning,1130,1134 1137,"[[0.8, 0.2]]","[[1, 1]]",0.3
182,452563,J130,junction,turning,1077 1091,1085 1092,"[[0.5, 0.5], [0.5, 0.5]]","[[1, 1], [2, 2]]",0.3
183,452568,J131,junction,turning,1109 1139,1108 1135,"[[0.8, 0.2], [0.5, 0.5]]","[[1, 1], [2, 2]]",0.3
184,452576,J132,junction,turning,1197 1233,1220 1229,"[[0.8, 0.2], [0.5, 0.5]]","[[1, 1], [2, 2]]",0.3
185,452600,J134,junction,turning,977 1006,940,"[[1.0], [1.0]]","[[1], [2]]",0.3
186,452616,J136,junction,turning,1092 1095 1103,1091 1093 1094,"[[0.4, 0.4, 0.2], [0.4, 0.4, 0.2], [0.1, 0.1, 0.8]]","[[1, 1, 1], [2, 2, 2], [3, 3, 3]]",0.3
187,452638,J141,junction,turning,982,1013,[[1.0]],[[1]],0.3
188,452653,J144,junction,turning,1231 1239,1237 1238,"[[0.5, 0.5], [0.2, 0.8]]","[[1, 1], [2, 2]]",0.3
189,452654,J145,junction,turning,1094 1108 1113,1103 1109 1110,"[[0.8, 0.1, 0.1], [0.2, 0.4, 0.4], [0.2, 0.4, 0.4]]","[[1, 1, 1], [2, 2, 2], [3, 3, 3]]",0.3
190,452671,J147,junction,turning,999,984 992,"[[0.8, 0.2]]","[[1, 1]]",0.3
191,452690,J153,junction,turning,984,944 960,"[[0.8, 0.2]]","[[1, 1]]",0.3
192,452692,J155,junction,turning,1154 1159 1179,1157 1158 1160,"[[0.3333333333333333, 0.3333333333333333, 0.3333333333333333], [0.1, 0.1, 0.8], [0.1, 0.8, 0.1]]","[[1, 1, 1], [2, 2, 2], [3, 3, 3]]",0.3
193,452729,J163,junction,turning,1037,1012 1014,"[[0.8, 0.2]]","[[1, 1]]",0.3
