object_key,road_id,veglenkesekvensid,veglenkenummer,segmentnummer,startnode,sluttnode,typeVeg,street_name,kortform,lenkeretning,length_m,feltoversikt,lane_mode,source_files
3921020-3-1:3920994>3920989,r215,3921020,3,1,CN135,3920989,Enkel bilveg,,EA18 S153D1 m3710-3812,MED,102.125,1,with_link,E18_2.json E18_3.json
4035767-2-5:4035761>4035759,r214,4035767,2,5,CN116,4035759,Enkel bilveg,,EV18 S53D1 m5238-5579,MOT,340.745,2#4,against_link,E18_2.json E18_3.json
405291-3-3:457792>2647261,r228,405291,3,3,457792,2647261,Enkel bilveg,Lilløyveien,KV1182 S1D1 m73-114,MED,40.756,1#2,bidirectional,E18_2.json
405375-3-3:3204441>457792,r232,405375,3,3,3204441,457792,Enkel bilveg,Skogsvingen,KV1257 S1D1 m138-230,MED,92.359,1#2,bidirectional,E18_2.json
2647316-1-4:2647276>2647292,r233,2647316,1,4,CN73,2647292,Enkel bilveg,Fridtjof Nansens vei,PV1096 S4D1 m0-53,MED,53.347,1#2,bidirectional,E18_2.json
3822568-1-2:3822538>3822554,r234,3822568,1,2,CN120,3822554,Enkel bilveg,Fridtjof Nansens vei,PV99190 S1D1 m0-47,MED,46.631,1#2,bidirectional,E18_2.json
405979-3-4:457306>457302,r223,405979,3,4,457306,457302,Enkel bilveg,Arnstein Arnebergs vei,KV2422 S1D1 m154-167,MED,12.682,1#2,bidirectional,E18_2.json
443807-34-12:3850436>456216,r235,443807,34,12,3850436,456216,Enkel bilveg,Professor Kohts vei,FV1621 S1D1 m1381-1483,MED,101.854,1#2#3S#4S,bidirectional_special,E18_2.json E18_3.json
1915867-1-3:457302>3080252,r237,1915867,1,3,457302,3080252,Enkel bilveg,Arnstein Arnebergs vei,KV2422 S1D1 m167-181,MED,13.809,1#2,bidirectional,E18_2.json
2647323-1-3:1424810>2647256,r238,2647323,1,3,1424810,2647256,Enkel bilveg,Magnus Poulssons vei,PV2371 S2D1 m229-273,MED,44.139,1#2,bidirectional,E18_2.json
405291-4-3:2647261>457942,r228,405291,4,3,2647261,CN73,Enkel bilveg,Lilløyveien,KV1182 S1D1 m114-203,MED,89.199,1#2,bidirectional,E18_2.json
3921015-1-1:3920995>3921004,r239,3921015,1,1,CN134,3921004,Kanalisert veg,,EA18 S153D1 m6587-7163,MED,576.477,1,with_link,E18_2.json E18_3.json
1915867-2-3:3080252>1915933,r237,1915867,2,3,3080252,1915933,Enkel bilveg,Arnstein Arnebergs vei,PV2422 S1D1 m0-26,MED,26.067,1#2,bidirectional,E18_2.json
405168-5-3:458023>2735687,r078,405168,5,3,CN120,2735687,Enkel bilveg,Fridtjof Nansens vei,KV1096 S1D1 m549-557,MED,8.3,1#2,bidirectional,E18_2.json
3921014-1-1:3920992>3920991,r241,3921014,1,1,CN135,3920991,Kanalisert veg,,EA18 S153D1 m6587-7163,MED,575.309,2,against_link,E18_2.json E18_3.json
405346-3-3:456697>3580671,r230,405346,3,3,456697,3580671,Enkel bilveg,Riiser-Larsens vei,KV1237 S1D1 m44-195,MED,150.959,1#2,bidirectional,E18_2.json E18_3.json
417281-2-3:3175368>1413555,r242,417281,2,3,3175368,1413555,Enkel bilveg,Fridtjof Nansens vei,PV1096 S3D1 m73-160,MED,87.028,1#2,bidirectional,E18_2.json
405162-4-3:457669>2647256,r073,405162,4,3,457669,2647256,Enkel bilveg,Fornebuveien,KV1092 S1D1 m319-405,MED,85.759,1#2,bidirectional,E18_2.json
417281-4-3:3822538>3175368,r242,417281,4,3,CN120,3175368,Enkel bilveg,Fridtjof Nansens vei,PV1096 S3D1 m36-73,MED,37.174,1#2,bidirectional,E18_2.json
405168-12-3:3831751>458023,r078,405168,12,3,3831751,CN120,Enkel bilveg,Fridtjof Nansens vei,KV1096 S1D1 m531-549,MED,17.912,1#2,bidirectional,E18_2.json
3175365-1-3:3175370>3175371,r245,3175365,1,3,CN120,3175371,Enkel bilveg,Munthes plass,PV92102 S1D1 m6-32,MED,26.019,1#2,bidirectional,E18_2.json
3175366-1-3:3175370>3175372,r246,3175366,1,3,CN120,3175372,Enkel bilveg,Munthes plass,PV92101 S1D1 m0-35,MED,35.117,1#2,bidirectional,E18_2.json
405168-10-3:2647276>3831751,r078,405168,10,3,CN73,3831751,Enkel bilveg,Fridtjof Nansens vei,KV1096 S1D1 m497-531,MED,34.014,1#2,bidirectional,E18_2.json
405346-1-3:456756>2815436,r230,405346,1,3,456756,2815436,Enkel bilveg,Riiser-Larsens vei,KV1237 S1D1 m0-3,MED,3.338,1#2,bidirectional,E18_2.json E18_3.json
405346-2-3:2815436>456697,r230,405346,2,3,2815436,456697,Enkel bilveg,Riiser-Larsens vei,KV1237 S1D1 m3-44,MED,40.865,1#2,bidirectional,E18_2.json E18_3.json
1915897-1-3:1915933>1915961,r248,1915897,1,3,1915933,1915961,Enkel bilveg,Arnstein Arnebergs vei,PV2422 S1D1 m26-62,MED,35.629,1#2,bidirectional,E18_2.json
1915898-1-3:1915933>1915962,r249,1915898,1,3,1915933,1915962,Enkel bilveg,Arnstein Arnebergs vei,PV2422 S2D1 m0-39,MED,39.181,1#2,bidirectional,E18_2.json
443807-8-12:456321>3850436,r235,443807,8,12,456321,3850436,Enkel bilveg,Professor Kohts vei,FV1621 S1D1 m1373-1381,MED,7.812,1#2#3S#4S,bidirectional_special,E18_2.json E18_3.json
405134-1-3:456321>3643417,r250,405134,1,3,456321,3643417,Enkel bilveg,Ekeliveien,KV1074 S1D1 m0-7,MED,6.669,1#2,bidirectional,E18_2.json E18_3.json
443807-7-12:456560>456321,r235,443807,7,12,456560,456321,Enkel bilveg,Professor Kohts vei,FV1621 S1D1 m1201-1373,MED,171.691,1#2#3S#4S,bidirectional_special,E18_2.json E18_3.json
405168-3-3:457944>457942,r078,405168,3,3,457944,CN73,Enkel bilveg,Fridtjof Nansens vei,KV1096 S1D1 m377-478,MED,100.91,1#2,bidirectional,E18_2.json
405134-2-3:3643417>1240849,r250,405134,2,3,3643417,1240849,Enkel bilveg,Ekeliveien,KV1074 S1D1 m7-152,MED,144.921,1#2,bidirectional,E18_2.json E18_3.json
3204457-1-3:1915962>3204439,r251,3204457,1,3,1915962,3204439,Enkel bilveg,Arnstein Arnebergs vei,PV92025 S1D1 m0-81,MED,80.583,1#2,bidirectional,E18_2.json E18_3.json
444870-2-11:457587>2814048,r217,444870,2,11,CN178,2814048,Kanalisert veg,Snarøyveien,FV166 S1D1 m39-44,MED,4.945,1#3,with_link,E18_2.json
405945-3-3:3067942>2647259,r247,405945,3,3,3067942,CN70,Enkel bilveg,Magnus Poulssons vei,KV2371 S1D1 m75-124,MED,49.228,1#2,bidirectional,E18_2.json
2647317-1-3:2647259>2647260,r252,2647317,1,3,CN70,2647260,Enkel bilveg,Magnus Poulssons vei,PV2371 S1D1 m0-6,MED,5.615,1#2,bidirectional,E18_2.json
446458-1-11:457585>457622,r216,446458,1,11,CN09,457622,Kanalisert veg,Snarøyveien,FV166 S1D1 m0-44,MED,43.273,2#2H1#2H2#2V1#4#6#8,against_link_special,E18_2.json
447635-2-10:457620>457622,r253,447635,2,10,457620,457622,Kanalisert veg,Snarøyveien,FV166 S1D1 m39-44,MED,4.912,2H2,against_link_special,E18_2.json
447636-2-10:457616>457622,r254,447636,2,10,457616,457622,Kanalisert veg,Snarøyveien,FV166 S1D1 m37-44,MED,7.09,2H1,against_link_special,E18_2.json
447637-1-10:1241146>457622,r255,447637,1,10,CN09,457622,Kanalisert veg,Snarøyveien,FV166 S1D1 m8-44,MED,44.374,2V1,against_link_special,E18_2.json
444870-1-11:457559>457587,r217,444870,1,11,CN177,CN178,Kanalisert veg,Snarøyveien,FV166 S1D1 m0-39,MED,37.44,1#3,with_link,E18_2.json
2647317-2-3:2647260>2647293,r252,2647317,2,3,2647260,2647293,Enkel bilveg,Magnus Poulssons vei,PV2371 S1D1 m6-96,MED,90.135,1#2,bidirectional,E18_2.json
405327-2-3:456376>456111,r257,405327,2,3,456376,456111,Enkel bilveg,Nordliveien,KV1218 S1D1 m100-387,MED,286.629,1#2,bidirectional,E18_2.json E18_3.json
447635-1-10:1241144>457620,r253,447635,1,10,CN09,457620,Kanalisert veg,Snarøyveien,FV166 S1D1 m3-39,MED,38.348,2H2,against_link_special,E18_2.json
447636-1-10:1241145>457616,r254,447636,1,10,CN10,457616,Kanalisert veg,Snarøyveien,FV166 S1D1 m4-37,MED,35.957,2H1,against_link_special,E18_2.json
443318-6-10:3073785>457572,r258,443318,6,10,3073785,CN178,Rampe,Snarøyveien,EV18 S54D1 m204 KD5 m218-249,MOT,31.0,1,with_link,E18_2.json
405375-2-3:457839>3204441,r232,405375,2,3,457839,3204441,Enkel bilveg,Skogsvingen,KV1257 S1D1 m84-138,MED,53.861,1#2,bidirectional,E18_2.json
3204456-1-3:3204441>3204438,r259,3204456,1,3,3204441,3204438,Enkel bilveg,Skogsvingen,PV92027 S1D1 m0-52,MED,52.281,1#2,bidirectional,E18_2.json
417874-1-3:456560>1411096,r260,417874,1,3,456560,1411096,Enkel bilveg,Professor Kohts vei,PV1770 S2D1 m0-112,MED,111.855,1#2,bidirectional,E18_2.json E18_3.json
443807-6-12:3075018>456560,r235,443807,6,12,3075018,456560,Enkel bilveg,Professor Kohts vei,FV1621 S1D1 m1074-1201,MED,127.842,1#2#3S#4S,bidirectional_special,E18_2.json E18_3.json
