parameter_index	parameter_name	z	best_loss	elapsed_seconds	stage
30	z_j261_r3_k2	1.431930687e-10	74.16423105	9674.25	objective_eval
31	z_j308_r1_k1	0	74.16423105	9674.25	objective_eval
32	z_j308_r1_k2	0	74.16423105	9674.25	objective_eval
33	z_j308_r2_k1	0	74.16423105	9674.25	objective_eval
34	z_j308_r2_k2	0	74.16423105	9674.25	objective_eval
35	z_j308_r3_k1	0	74.16423105	9674.25	objective_eval
36	z_j308_r3_k2	0	74.16423105	9674.25	objective_eval
37	z_j339_r1_k1	-0.08761358357	74.16423105	9674.25	objective_eval
38	z_j339_r1_k2	0.2999052672	74.16423105	9674.25	objective_eval
39	z_j339_r1_k3	-0.1198042329	74.16423105	9674.25	objective_eval
40	z_j339_r2_k1	-0.001503682691	74.16423105	9674.25	objective_eval
41	z_j339_r2_k2	0.04304674315	74.16423105	9674.25	objective_eval
42	z_j339_r2_k3	-0.04006754503	74.16423105	9674.25	objective_eval
43	z_j339_r3_k1	-0.001479975745	74.16423105	9674.25	objective_eval
44	z_j339_r3_k2	0.043271934	74.16423105	9674.25	objective_eval
45	z_j339_r3_k3	-0.04033989072	74.16423105	9674.25	objective_eval
46	z_j386_r1_k1	9.990435631e-50	74.16423105	9674.25	objective_eval
47	z_j457_r1_k1	0	74.16423105	9674.25	objective_eval
48	z_j475_r1_k1	-0.3017876378	74.16423105	9674.25	objective_eval
49	z_j475_r1_k2	0.1042475016	74.16423105	9674.25	objective_eval
50	z_j475_r1_k3	0.1042475016	74.16423105	9674.25	objective_eval
51	z_j477_r1_k1	-0.02447296645	74.16423105	9674.25	objective_eval
52	z_j477_r1_k2	0.0517805424	74.16423105	9674.25	objective_eval
53	z_j477_r2_k1	-0.03227119967	74.16423105	9674.25	objective_eval
54	z_j477_r2_k2	0.0692360103	74.16423105	9674.25	objective_eval
55	z_j481_r1_k1	-0.8451665583	74.16423105	9674.25	objective_eval
56	z_j481_r1_k2	0.1710146407	74.16423105	9674.25	objective_eval
57	z_j481_r1_k3	0.1710146407	74.16423105	9674.25	objective_eval
58	z_j481_r1_k4	0.1710146407	74.16423105	9674.25	objective_eval
59	z_j481_r1_k5	0.1710146407	74.16423105	9674.25	objective_eval
60	z_j485_r1_k1	0.0002096467806	74.16423105	9674.25	objective_eval
61	z_j485_r1_k2	-0.0004192687879	74.16423105	9674.25	objective_eval
62	z_j485_r2_k1	0.0002527074155	74.16423105	9674.25	objective_eval
63	z_j485_r2_k2	-0.0005053788356	74.16423105	9674.25	objective_eval
64	z_j486_r1_k1	0.710277984	74.16423105	9674.25	objective_eval
65	z_j486_r2_k1	0.3156945904	74.16423105	9674.25	objective_eval
66	z_j487_r1_k1	0	74.16423105	9674.25	objective_eval
67	z_j487_r1_k2	0	74.16423105	9674.25	objective_eval
68	z_j487_r1_k3	0	74.16423105	9674.25	objective_eval
69	z_j487_r1_k4	0	74.16423105	9674.25	objective_eval
70	z_j490_r1_k1	-3.20082423e-08	74.16423105	9674.25	objective_eval
71	z_j490_r1_k2	3.136174095e-08	74.16423105	9674.25	objective_eval
72	z_j490_r2_k1	-3.30748282e-08	74.16423105	9674.25	objective_eval
73	z_j490_r2_k2	3.225763054e-08	74.16423105	9674.25	objective_eval
74	z_j491_r1_k1	-2.087420634e-21	74.16423105	9674.25	objective_eval
75	z_j491_r2_k1	-5.898710905e-22	74.16423105	9674.25	objective_eval
76	z_j495_r1_k1	0	74.16423105	9674.25	objective_eval
77	z_j495_r1_k2	0	74.16423105	9674.25	objective_eval
78	z_j495_r1_k3	0	74.16423105	9674.25	objective_eval
79	z_j495_r2_k1	0	74.16423105	9674.25	objective_eval
80	z_j495_r2_k2	0	74.16423105	9674.25	objective_eval
81	z_j495_r2_k3	0	74.16423105	9674.25	objective_eval
82	z_j495_r3_k1	0	74.16423105	9674.25	objective_eval
83	z_j495_r3_k2	0	74.16423105	9674.25	objective_eval
84	z_j495_r3_k3	0	74.16423105	9674.25	objective_eval
85	z_j495_r3_k4	0	74.16423105	9674.25	objective_eval
86	z_j495_r4_k1	0	74.16423105	9674.25	objective_eval
87	z_j495_r4_k2	0	74.16423105	9674.25	objective_eval
88	z_j495_r4_k3	0	74.16423105	9674.25	objective_eval
89	z_j496_r1_k1	0	74.16423105	9674.25	objective_eval
90	z_j496_r2_k1	0	74.16423105	9674.25	objective_eval
91	z_j496_r3_k1	0	74.16423105	9674.25	objective_eval
92	z_j497_r1_k1	0	74.16423105	9674.25	objective_eval
93	z_j497_r1_k2	0	74.16423105	9674.25	objective_eval
94	z_j497_r1_k3	0	74.16423105	9674.25	objective_eval
95	z_j497_r2_k1	0	74.16423105	9674.25	objective_eval
96	z_j497_r2_k2	0	74.16423105	9674.25	objective_eval
97	z_j497_r2_k3	0	74.16423105	9674.25	objective_eval
