row_label	junction	incoming_row	source_road	source_observed	row_tv_error	observed_target_cols	rank_within_swap	variant_label	y_true	y_obs	y_post	y_swap	sigma_true	sigma_model	flux_shape_obs	true_standardized_residual	post_standardized_residual	swap_standardized_residual	post_loss_contribution	swap_loss_contribution	contribution_improvement	abs_contribution_improvement	swap_improves_observation	global_index	scenario_index	scenario_label	local_index	road_id	road_role	sensor_position	sensor_cell	sensor_fraction	time_index	time_hour	time_min
J1 row 1	1	1	1	false	0.5552748191	2,3	17	hard_floor_0p03	0.2315161496	0.296925276	0.06432395923	0.2034498113	0.05693325506	0.06680341007	0.8350426258	-0.9791285557	-3.481877894	-1.399261873	6.061736833	0.978966894	5.082769939	5.082769939	true	1949	7	east_heavy_late	221	17	internal	1	2	0.125	8	0.03333333333	2
J1 row 1	1	1	1	false	0.5552748191	2,3	18	hard_floor_0p03	0.2477665799	0.2760844588	0.06366412953	0.2110087198	0.05964105657	0.06395578573	0.7994473217	-0.4427727468	-3.321362201	-1.017511368	5.515723436	0.5176646923	4.998058744	4.998058744	true	221	1	balanced_reference	221	17	internal	1	2	0.125	8	0.03333333333	2
J1 row 1	1	1	1	false	0.5552748191	2,3	19	hard_floor_0p03	0.3648378205	0.3397847051	0.1079810034	0.2876247571	0.07415397928	0.07178593897	0.8973242371	0.3489975301	-3.229096186	-0.7266039668	5.21353109	0.2639766623	4.949554427	4.949554427	true	2513	9	early_spike_then_clear	209	17	internal	1	2	0.125	5	0.02083333333	1.25
J1 row 1	1	1	1	false	0.5552748191	2,3	20	hard_floor_0p03	0.2688327047	0.263408755	0.06481758664	0.2257190332	0.06289973811	0.0620878665	0.7760983312	0.0873592537	-3.19855037	-0.6070384429	5.115362236	0.1842478356	4.931114401	4.931114401	true	217	1	balanced_reference	217	17	internal	1	2	0.125	7	0.02916666667	1.75
J1 row 1	1	1	1	false	0.5552748191	2,3	21	hard_floor_0p03	0.2251253071	0.08475031884	0.1995899528	0.223360663	0.05582204903	0.02482166473	0.3102708092	5.655341403	4.626588715	5.584248503	10.70266157	15.59191567	-4.889254103	4.889254103	false	2222	8	alternating_inlets	206	17	internal	2	5	0.375	4	0.01666666667	1
J1 row 1	1	1	1	false	0.5552748191	2,3	22	hard_floor_0p03	0.2267208493	0.2835235471	0.06433207828	0.2007631715	0.05610192185	0.0650041425	0.8125517813	-0.8738319682	-3.371961545	-1.273155408	5.68506233	0.810462346	4.874599984	4.874599984	true	3381	12	downstream_loaded_sparse	213	17	internal	1	2	0.125	6	0.025	1.5
J1 row 1	1	1	1	false	0.5552748191	2,3	23	hard_floor_0p03	0.2289260769	0.2805556264	0.0656761001	0.2031265226	0.05648605703	0.0645901334	0.8073766675	-0.7993411181	-3.326816573	-1.198776031	5.533854255	0.7185319858	4.815322269	4.815322269	true	1937	7	east_heavy_late	209	17	internal	1	2	0.125	5	0.02083333333	1.25
J1 row 1	1	1	1	false	0.5552748191	2,3	24	hard_floor_0p03	0.2218429992	0.2837357168	0.06442231484	0.1976221387	0.05524117853	0.06503352314	0.8129190392	-0.9517048221	-3.372313099	-1.324141365	5.686247819	0.8766751777	4.809572641	4.809572641	true	3377	12	downstream_loaded_sparse	209	17	internal	1	2	0.125	5	0.02083333333	1.25
J1 row 1	1	1	1	false	0.5552748191	2,3	25	hard_floor_0p03	0.2262367688	0.2959962375	0.06928631697	0.2027720365	0.05601718183	0.06668238877	0.8335298596	-1.046145317	-3.399847017	-1.398033315	5.77947987	0.9772485747	4.802231295	4.802231295	true	1933	7	east_heavy_late	205	17	internal	1	2	0.125	4	0.01666666667	1
J1 row 2	1	2	2	true	0.4566148836	2,3	1	hard_floor_0p03	0.2425337545	0.009939361138	0.06814460595	0.09809751771	0.05878756237	0.003148982476	0.03936228095	73.86334954	18.4838262	27.99575966	170.8259156	391.8812794	-221.0553638	221.0553638	false	2225	8	alternating_inlets	209	17	internal	1	2	0.125	5	0.02083333333	1.25
J1 row 2	1	2	2	true	0.4566148836	2,3	2	hard_floor_0p03	0.4149987458	0.5438241517	0.2369649133	0.3065435947	0.07768793177	0.07938542199	0.9923177749	-1.622784168	-3.865435627	-2.988968895	7.470796293	4.466967527	3.003828766	3.003828766	true	1662	6	west_heavy	222	17	internal	2	5	0.375	8	0.03333333333	2
J1 row 2	1	2	2	true	0.4566148836	2,3	3	hard_floor_0p03	0.5047746712	0.4476481602	0.111001079	0.1572045365	0.0799927048	0.07912297116	0.9890371395	0.7219965336	-4.254732555	-3.670787629	9.051374558	6.73734091	2.314033648	2.314033648	true	501	2	heavy_from_start	213	17	internal	1	2	0.125	6	0.025	1.5
J1 row 2	1	2	2	true	0.4566148836	2,3	4	hard_floor_0p03	0.4383793127	0.4611148024	0.1521061453	0.2033409903	0.07878492509	0.07951614125	0.9939517656	-0.2859229497	-3.886112331	-3.241779695	7.550934526	5.254567794	2.296366732	2.296366732	true	1645	6	west_heavy	205	17	internal	1	2	0.125	4	0.01666666667	1
J1 row 2	1	2	2	true	0.4566148836	2,3	5	hard_floor_0p03	0.3950428168	0.4430495261	0.207582803	0.2774761628	0.0764748767	0.07896212593	0.9870265741	-0.6079713376	-2.982021069	-2.096870637	4.446224828	2.198433234	2.247791593	2.247791593	true	1086	4	north_heavy	222	17	internal	2	5	0.375	8	0.03333333333	2
J1 row 2	1	2	2	true	0.4566148836	2,3	6	hard_floor_0p03	0.483814703	0.5127216459	0.2349969658	0.2900487166	0.07991617157	0.07994821111	0.9993526389	-0.3615708533	-3.473807309	-2.785214656	6.03366861	3.878710339	2.154958271	2.154958271	true	2509	9	early_spike_then_clear	205	17	internal	1	2	0.125	4	0.01666666667	1
J1 row 2	1	2	2	true	0.4566148836	2,3	7	hard_floor_0p03	0.1065176995	0.03424543512	0.09064130976	0.09462985558	0.03045493734	0.01058325929	0.1322907412	6.828923146	5.328781339	5.705654446	14.19795528	16.27724633	-2.079291053	2.079291053	false	778	3	quiet_start_then_build	202	17	internal	2	5	0.375	3	0.0125	0.75
J1 row 2	1	2	2	true	0.4566148836	2,3	8	hard_floor_0p03	0.3830226483	0.4082288383	0.1900956666	0.2537450588	0.07562121574	0.07730497724	0.9663122156	-0.3260616713	-2.821722217	-1.998367829	3.981058134	1.996736991	1.984321143	1.984321143	true	222	1	balanced_reference	222	17	internal	2	5	0.375	8	0.03333333333	2
J1 row 2	1	2	2	true	0.4566148836	2,3	9	hard_floor_0p03	0.1653560298	0.06124722251	0.08484521151	0.1046531099	0.04416429222	0.01839872008	0.229984001	5.658480961	1.28258862	2.359179725	0.8225167846	2.782864487	-1.960347703	1.960347703	false	2802	10	late_surge_sparse_start	210	17	internal	2	5	0.375	5	0.02083333333	1.25
J1 row 2	1	2	2	true	0.4566148836	2,3	10	hard_floor_0p03	0.5812735946	0.4305611755	0.2239007803	0.2904937336	0.0778862729	0.07845703989	0.9807129986	1.920954695	-2.634058021	-1.785275638	3.469130829	1.593604551	1.875526278	1.875526278	true	497	2	heavy_from_start	209	17	internal	1	2	0.125	5	0.02083333333	1.25
J1 row 2	1	2	2	true	0.4566148836	2,3	11	hard_floor_0p03	0.2752311462	0.159065591	0.2757707233	0.241311055	0.06383326796	0.04280439321	0.5350549151	2.713869921	2.726475566	1.921425765	3.716834507	1.845938485	1.870896021	1.870896021	true	2141	8	alternating_inlets	125	4	outgoing	1	2	0.08333333333	8	0.03333333333	2
J1 row 2	1	2	2	true	0.4566148836	2,3	12	hard_floor_0p03	0.357141613	0.374508614	0.08791170479	0.1265520242	0.073469274	0.07496061186	0.9370076482	-0.231681688	-3.823300026	-3.307825053	7.308811544	5.47085329	1.837958254	1.837958254	true	209	1	balanced_reference	209	17	internal	1	2	0.125	5	0.02083333333	1.25
J1 row 2	1	2	2	true	0.4566148836	2,3	13	hard_floor_0p03	0.2251253071	0.08475031884	0.1995899528	0.208673294	0.05582204903	0.02482166473	0.3102708092	5.655341403	4.626588715	4.992532792	10.70266157	12.46269184	-1.760030273	1.760030273	false	2222	8	alternating_inlets	206	17	internal	2	5	0.375	4	0.01666666667	1
J1 row 2	1	2	2	true	0.4566148836	2,3	14	hard_floor_0p03	0.3648378205	0.3397847051	0.1079810034	0.1508655833	0.07415397928	0.07178593897	0.8973242371	0.3489975301	-3.229096186	-2.631700922	5.21353109	3.462924871	1.750606218	1.750606218	true	2513	9	early_spike_then_clear	209	17	internal	1	2	0.125	5	0.02083333333	1.25
J1 row 2	1	2	2	true	0.4566148836	2,3	15	hard_floor_0p03	0.4315340412	0.3507234834	0.1508661585	0.2043104969	0.078499972	0.07286928691	0.9108660863	1.108979671	-2.742682594	-2.009255101	3.761153907	2.018553031	1.742600875	1.742600875	true	1069	4	north_heavy	205	17	internal	1	2	0.125	4	0.01666666667	1
J1 row 2	1	2	2	true	0.4566148836	2,3	16	hard_floor_0p03	0.4144014745	0.3585077822	0.1460470533	0.1945003576	0.07765532558	0.07359358474	0.9199198092	0.7594913665	-2.886946324	-2.228555998	4.16722954	2.483230918	1.683998622	1.683998622	true	205	1	balanced_reference	205	17	internal	1	2	0.125	4	0.01666666667	1
J1 row 2	1	2	2	true	0.4566148836	2,3	17	hard_floor_0p03	0.4891499494	0.5352245071	0.2918802289	0.3404644669	0.07996232845	0.07960295491	0.9950369364	-0.5788046155	-3.056975441	-2.446643349	4.672549424	2.993031838	1.679517586	1.679517586	true	1641	6	west_heavy	201	17	internal	1	2	0.125	3	0.0125	0.75
J1 row 2	1	2	2	true	0.4566148836	2,3	18	hard_floor_0p03	0.3734597042	0.2847085439	0.08733653331	0.1271771344	0.07487601713	0.06516786846	0.8145983557	1.361885273	-3.028670651	-2.417317203	4.586422956	2.92171123	1.664711726	1.664711726	true	1649	6	west_heavy	209	17	internal	1	2	0.125	5	0.02083333333	1.25
J1 row 2	1	2	2	true	0.4566148836	2,3	19	hard_floor_0p03	0.3213513444	0.311482806	0.06995159503	0.1042577227	0.06978709052	0.06862760563	0.8578450703	0.1437983782	-3.519446858	-3.019558696	6.193253094	4.558867359	1.634385735	1.634385735	true	1077	4	north_heavy	213	17	internal	1	2	0.125	6	0.025	1.5
J1 row 2	1	2	2	true	0.4566148836	2,3	20	hard_floor_0p03	0.619782972	0.618911463	0.4205172883	0.4746116002	0.07540865268	0.07547522047	0.9434402559	0.01154695536	-2.628600134	-1.911883952	3.454769333	1.827650122	1.627119211	1.627119211	true	493	2	heavy_from_start	205	17	internal	1	2	0.125	4	0.01666666667	1
J1 row 2	1	2	2	true	0.4566148836	2,3	21	hard_floor_0p03	0.3751053081	0.2447501115	0.08937043318	0.1313375402	0.0750084211	0.05915119822	0.7393899777	2.20376257	-2.626822161	-1.917333457	3.450097334	1.838083792	1.612013542	1.612013542	true	1073	4	north_heavy	209	17	internal	1	2	0.125	5	0.02083333333	1.25
J1 row 2	1	2	2	true	0.4566148836	2,3	22	hard_floor_0p03	0.406930258	0.3863084423	0.07300603591	0.103208399	0.0772281674	0.0758637535	0.9482969188	0.2718269891	-4.129803653	-3.731690434	8.527639106	6.962756748	1.564882358	1.564882358	true	505	2	heavy_from_start	217	17	internal	1	2	0.125	7	0.02916666667	1.75
J1 row 2	1	2	2	true	0.4566148836	2,3	23	hard_floor_0p03	0.4843874278	0.6217400646	0.4756213719	0.4253086772	0.07992199923	0.07525739414	0.9407174267	-1.825104874	-1.941585865	-2.610127411	1.884877835	3.406382552	-1.521504717	1.521504717	false	1565	6	west_heavy	125	4	outgoing	1	2	0.08333333333	8	0.03333333333	2
J1 row 2	1	2	2	true	0.4566148836	2,3	24	hard_floor_0p03	0.2815534241	0.2694452266	0.06482073574	0.09612327893	0.06472994991	0.06299023887	0.7873779859	0.1922233928	-3.248511111	-2.751568351	5.276412221	3.785564195	1.490848026	1.490848026	true	1081	4	north_heavy	217	17	internal	1	2	0.125	7	0.02916666667	1.75
