row_label	junction	incoming_row	source_road	source_observed	row_tv_error	observed_road	observed_road_role	observed_road_is_source	observed_road_is_target	post_fit_normalized_rmse	swap_fit_normalized_rmse	fit_normalized_improvement	post_truth_rmse	swap_truth_rmse	truth_rmse_improvement	swap_visibility_normalized
J1 row 4	1	4	20	false	0.4677491586	9	incoming	false	false	1.432782793	1.430846624	0.001936169163	0.007858884076	0.007678784259	0.0001800998172	0.01999557412
J1 row 4	1	4	20	false	0.4677491586	14	incoming	false	false	1.307745982	1.305191179	0.002554803137	0.01462098435	0.01456176727	5.921708042e-05	0.01495948838
J1 row 4	1	4	20	false	0.4677491586	15	outgoing	false	false	1.642083079	1.641562567	0.0005205122675	0.00780263815	0.00788172963	-7.909147943e-05	0.005978866565
J1 row 4	1	4	20	false	0.4677491586	17	internal	false	true	2.070376407	2.237292365	-0.1669159583	0.09355436363	0.0729494624	0.02060490123	0.7233121077
J1 row 4	1	4	20	false	0.4677491586	21	internal	false	false	1.220621584	1.218262136	0.002359448546	0.01577777346	0.01566050186	0.0001172716022	0.009843598293
J1 row 4	1	4	20	false	0.4677491586	24	internal	false	false	1.188725865	1.185353323	0.003372541843	0.01569990493	0.01562579686	7.410806756e-05	0.0191466589
J2 row 1	2	1	5	false	0.3211453431	2	incoming	false	false	1.746413128	1.746413162	-3.421513539e-08	0.003066917112	0.00306689484	2.227247364e-08	1.597799404e-06
J2 row 1	2	1	5	false	0.3211453431	4	outgoing	false	false	1.104954401	1.104954496	-9.45659282e-08	0.004001227309	0.00400123081	-3.501056809e-09	3.171129053e-06
J2 row 1	2	1	5	false	0.3211453431	7	outgoing	false	true	1.38924159	1.470843402	-0.08160181228	0.007265733469	0.04035973311	-0.03309399964	0.6002844694
J2 row 1	2	1	5	false	0.3211453431	9	incoming	false	false	1.432782793	1.432782775	1.811856265e-08	0.007858884076	0.00785888452	-4.441588156e-10	3.012408296e-07
J2 row 1	2	1	5	false	0.3211453431	14	incoming	false	false	1.307745982	1.307745981	9.552094671e-10	0.01462098435	0.01462098466	-3.118186959e-10	2.624447948e-07
J2 row 1	2	1	5	false	0.3211453431	15	outgoing	false	false	1.642083079	1.642083077	2.379878294e-09	0.00780263815	0.007802638202	-5.152032446e-11	1.431555265e-07
J2 row 1	2	1	5	false	0.3211453431	17	internal	false	false	2.070376407	2.128702313	-0.05832590636	0.09355436363	0.09903834821	-0.005483984583	0.6315798903
J2 row 1	2	1	5	false	0.3211453431	21	internal	false	true	1.220621584	1.226518556	-0.00589697129	0.01577777346	0.01752902269	-0.001751249226	0.1547171586
J2 row 1	2	1	5	false	0.3211453431	24	internal	false	false	1.188725865	1.188725881	-1.659287174e-08	0.01569990493	0.01569990696	-2.026686919e-09	3.242700175e-07
J2 row 2	2	2	6	false	0.3036773312	2	incoming	false	false	1.746413128	1.746413098	2.973497648e-08	0.003066917112	0.003066936603	-1.949079665e-08	1.395201853e-06
J2 row 2	2	2	6	false	0.3036773312	4	outgoing	false	false	1.104954401	1.104954318	8.310209121e-08	0.004001227309	0.004001224241	3.067714955e-09	2.77724882e-06
J2 row 2	2	2	6	false	0.3036773312	7	outgoing	false	true	1.38924159	1.390302284	-0.001060694285	0.007265733469	0.006503891067	0.0007618424021	0.01869648668
J2 row 2	2	2	6	false	0.3036773312	9	incoming	false	false	1.432782793	1.432782809	-1.552628559e-08	0.007858884076	0.007858883695	3.81305194e-10	2.580440761e-07
J2 row 2	2	2	6	false	0.3036773312	14	incoming	false	false	1.307745982	1.307745983	-8.06933631e-10	0.01462098435	0.01462098408	2.677391642e-10	2.250851199e-07
J2 row 2	2	2	6	false	0.3036773312	15	outgoing	false	false	1.642083079	1.642083081	-1.963878171e-09	0.00780263815	0.007802638106	4.366044245e-11	1.229022288e-07
J2 row 2	2	2	6	false	0.3036773312	17	internal	false	false	2.070376407	2.068268417	0.002107990086	0.09355436363	0.09340097	0.0001533936228	0.03416258055
J2 row 2	2	2	6	false	0.3036773312	21	internal	false	true	1.220621584	1.222162195	-0.001540610624	0.01577777346	0.02366618987	-0.007888416401	0.2350860391
J2 row 2	2	2	6	false	0.3036773312	24	internal	false	false	1.188725865	1.18872585	1.45176835e-08	0.01569990493	0.01569990319	1.739809054e-09	2.79649347e-07
J2 row 3	2	3	17	true	0.2897527053	2	incoming	false	false	1.746413128	1.746413155	-2.70129108e-08	0.003066917112	0.003066899516	1.759676675e-08	1.262115445e-06
J2 row 3	2	3	17	true	0.2897527053	4	outgoing	false	false	1.104954401	1.104954476	-7.452245843e-08	0.004001227309	0.004001230072	-2.763451668e-09	2.503800787e-06
