row_label	junction	incoming_row	source_road	source_observed	row_tv_error	variant_label	variant_kind	floor_fraction	post_fit_normalized_rmse	swap_fit_normalized_rmse	truth_fit_normalized_rmse	fit_normalized_improvement	post_mean_loss	swap_mean_loss	truth_mean_loss	mean_loss_improvement	swap_improves_noisy_rmse	swap_improves_noisy_loss
J2 row 1	2	1	5	false	0.3211453431	hard_floor_0p05	hard_floor	0.05	1.402328119	1.421714599	1.637111875	-0.01938647932	0.9832620772	1.0106362	1.340067646	-0.02737412287	false	false
J2 row 2	2	2	6	false	0.3036773312	hard_floor_0p05	hard_floor	0.05	1.402328119	1.402248374	1.637111875	7.97453055e-05	0.9832620772	0.9831502513	1.340067646	0.0001118259046	true	true
J2 row 3	2	3	17	true	0.2897527053	hard_floor_0p05	hard_floor	0.05	1.402328119	1.41105787	1.637111875	-0.008729750757	0.9832620772	0.9955421564	1.340067646	-0.01228007924	false	false
J2 row 4	2	4	22	false	0.1877143606	hard_floor_0p05	hard_floor	0.05	1.402328119	1.403526969	1.637111875	-0.001198849874	0.9832620772	0.9849439767	1.340067646	-0.00168189951	false	false
J3 row 1	3	1	9	true	0.284332013	hard_floor_0p05	hard_floor	0.05	1.402328119	1.421214155	1.637111875	-0.01888603567	0.9832620772	1.009924837	1.340067646	-0.02666276006	false	false
J3 row 2	3	2	10	false	0.3704170558	hard_floor_0p05	hard_floor	0.05	1.402328119	1.401186338	1.637111875	0.001141781296	0.9832620772	0.981661577	1.340067646	0.001600500186	true	true
J3 row 3	3	3	19	false	0.2887670253	hard_floor_0p05	hard_floor	0.05	1.402328119	1.401271409	1.637111875	0.001056710622	0.9832620772	0.9817807805	1.340067646	0.0014812967	true	true
J3 row 4	3	4	24	true	0.2160830544	hard_floor_0p05	hard_floor	0.05	1.402328119	1.407920855	1.637111875	-0.005592735305	0.9832620772	0.9911205665	1.340067646	-0.007858489326	false	false
J4 row 1	4	1	13	false	0.3480934246	hard_floor_0p05	hard_floor	0.05	1.402328119	1.410454275	1.637111875	-0.008126155425	0.9832620772	0.9946906307	1.340067646	-0.01142855346	false	false
J4 row 2	4	2	14	true	0.2565175974	hard_floor_0p05	hard_floor	0.05	1.402328119	1.422016291	1.637111875	-0.01968817209	0.9832620772	1.011065167	1.340067646	-0.0278030894	false	false
J4 row 3	4	3	21	true	0.2292113581	hard_floor_0p05	hard_floor	0.05	1.402328119	1.417765068	1.637111875	-0.01543694878	0.9832620772	1.005028894	1.340067646	-0.02176681704	false	false
J4 row 4	4	4	23	false	0.2365386967	hard_floor_0p05	hard_floor	0.05	1.402328119	1.402149796	1.637111875	0.0001783236441	0.9832620772	0.9830120248	1.340067646	0.0002500523608	true	true
J1 row 1	1	1	1	false	0.5552748191	hard_floor_0p10	hard_floor	0.1	1.353386784	1.346935313	1.363200925	0.006451470955	0.9158278931	0.9071173683	0.9291583805	0.008710524787	true	true
J1 row 2	1	2	2	true	0.4566148836	hard_floor_0p10	hard_floor	0.1	1.353386784	1.332252254	1.363200925	0.02113452923	0.9158278931	0.8874480347	0.9291583805	0.02837985837	true	true
J1 row 3	1	3	18	false	0.1866046451	hard_floor_0p10	hard_floor	0.1	1.353386784	1.384653156	1.363200925	-0.03126637224	0.9158278931	0.9586321811	0.9291583805	-0.04280428798	false	false
J1 row 4	1	4	20	false	0.4677491586	hard_floor_0p10	hard_floor	0.1	1.353386784	1.340990939	1.363200925	0.01239584456	0.9158278931	0.8991283494	0.9291583805	0.01669954372	true	true
J2 row 1	2	1	5	false	0.3211453431	hard_floor_0p10	hard_floor	0.1	1.353386784	1.373464245	1.363200925	-0.02007746121	0.9158278931	0.943202016	0.9291583805	-0.02737412287	false	false
J2 row 2	2	2	6	false	0.3036773312	hard_floor_0p10	hard_floor	0.1	1.353386784	1.353304154	1.363200925	8.262923784e-05	0.9158278931	0.9157160672	0.9291583805	0.0001118259046	true	true
J2 row 3	2	3	17	true	0.2897527053	hard_floor_0p10	hard_floor	0.1	1.353386784	1.362430161	1.363200925	-0.009043377727	0.9158278931	0.9281079723	0.9291583805	-0.01228007924	false	false
J2 row 4	2	4	22	false	0.1877143606	hard_floor_0p10	hard_floor	0.1	1.353386784	1.354628947	1.363200925	-0.001242163766	0.9158278931	0.9175097926	0.9291583805	-0.00168189951	false	false
J3 row 1	3	1	9	true	0.284332013	hard_floor_0p10	hard_floor	0.1	1.353386784	1.372946214	1.363200925	-0.01955943026	0.9158278931	0.9424906532	0.9291583805	-0.02666276006	false	false
J3 row 2	3	2	10	false	0.3704170558	hard_floor_0p10	hard_floor	0.1	1.353386784	1.352203678	1.363200925	0.001183106023	0.9158278931	0.9142273929	0.9291583805	0.001600500186	true	true
J3 row 3	3	3	19	false	0.2887670253	hard_floor_0p10	hard_floor	0.1	1.353386784	1.35229183	1.363200925	0.001094953919	0.9158278931	0.9143465964	0.9291583805	0.0014812967	true	true
J3 row 4	3	4	24	true	0.2160830544	hard_floor_0p10	hard_floor	0.1	1.353386784	1.359180917	1.363200925	-0.00579413323	0.9158278931	0.9236863824	0.9291583805	-0.007858489326	false	false
J4 row 1	4	1	13	false	0.3480934246	hard_floor_0p10	hard_floor	0.1	1.353386784	1.361805013	1.363200925	-0.008418229217	0.9158278931	0.9272564466	0.9291583805	-0.01142855346	false	false
J4 row 2	4	2	14	true	0.2565175974	hard_floor_0p10	hard_floor	0.1	1.353386784	1.373776534	1.363200925	-0.0203897502	0.9158278931	0.9436309825	0.9291583805	-0.0278030894	false	false
J4 row 3	4	3	21	true	0.2292113581	hard_floor_0p10	hard_floor	0.1	1.353386784	1.369375559	1.363200925	-0.01598877486	0.9158278931	0.9375947102	0.9291583805	-0.02176681704	false	false
J4 row 4	4	4	23	false	0.2365386967	hard_floor_0p10	hard_floor	0.1	1.353386784	1.353202011	1.363200925	0.0001847730703	0.9158278931	0.9155778408	0.9291583805	0.0002500523608	true	true
J1 row 1	1	1	1	false	0.5552748191	hard_floor_0p15	hard_floor	0.15	1.327037343	1.283430804	1.288374295	0.04360653898	0.8805140546	0.8235973141	0.829954162	0.05691674049	true	true
J1 row 2	1	2	2	true	0.4566148836	hard_floor_0p15	hard_floor	0.15	1.327037343	1.301329665	1.288374295	0.025707678	0.8805140546	0.8467294482	0.829954162	0.03378460635	true	true
J1 row 3	1	3	18	false	0.1866046451	hard_floor_0p15	hard_floor	0.15	1.327037343	1.360961246	1.288374295	-0.03392390295	0.8805140546	0.9261077562	0.829954162	-0.04559370163	false	false
J1 row 4	1	4	20	false	0.4677491586	hard_floor_0p15	hard_floor	0.15	1.327037343	1.308915487	1.288374295	0.01812185586	0.8805140546	0.856629876	0.829954162	0.02388417862	true	true
J2 row 1	2	1	5	false	0.3211453431	hard_floor_0p15	hard_floor	0.15	1.327037343	1.34750746	1.288374295	-0.02047011727	0.8805140546	0.9078881774	0.829954162	-0.02737412287	false	false
J2 row 2	2	2	6	false	0.3036773312	hard_floor_0p15	hard_floor	0.15	1.327037343	1.326953073	1.288374295	8.427001396e-05	0.8805140546	0.8804022287	0.829954162	0.0001118259047	true	true
J2 row 3	2	3	17	true	0.2897527053	hard_floor_0p15	hard_floor	0.15	1.327037343	1.336259057	1.288374295	-0.009221714291	0.8805140546	0.8927941338	0.829954162	-0.01228007924	false	false
J2 row 4	2	4	22	false	0.1877143606	hard_floor_0p15	hard_floor	0.15	1.327037343	1.328304147	1.288374295	-0.001266804677	0.8805140546	0.8821959541	0.829954162	-0.00168189951	false	false
J3 row 1	3	1	9	true	0.284332013	hard_floor_0p15	hard_floor	0.15	1.327037343	1.346979446	1.288374295	-0.0199421037	0.8805140546	0.9071768146	0.829954162	-0.02666276006	false	false
J3 row 2	3	2	10	false	0.3704170558	hard_floor_0p15	hard_floor	0.15	1.327037343	1.325830724	1.288374295	0.001206618758	0.8805140546	0.8789135544	0.829954162	0.001600500186	true	true
J3 row 3	3	3	19	false	0.2887670253	hard_floor_0p15	hard_floor	0.15	1.327037343	1.32592063	1.288374295	0.00111671328	0.8805140546	0.8790327579	0.829954162	0.0014812967	true	true
J3 row 4	3	4	24	true	0.2160830544	hard_floor_0p15	hard_floor	0.15	1.327037343	1.332946018	1.288374295	-0.005908675551	0.8805140546	0.8883725439	0.829954162	-0.007858489326	false	false
J4 row 1	4	1	13	false	0.3480934246	hard_floor_0p15	hard_floor	0.15	1.327037343	1.335621659	1.288374295	-0.00858431624	0.8805140546	0.891942608	0.829954162	-0.01142855346	false	false
J4 row 2	4	2	14	true	0.2565175974	hard_floor_0p15	hard_floor	0.15	1.327037343	1.347825763	1.288374295	-0.02078842041	0.8805140546	0.908317144	0.829954162	-0.0278030894	false	false
J4 row 3	4	3	21	true	0.2292113581	hard_floor_0p15	hard_floor	0.15	1.327037343	1.343339772	1.288374295	-0.01630242929	0.8805140546	0.9022808716	0.829954162	-0.02176681704	false	false
J4 row 4	4	4	23	false	0.2365386967	hard_floor_0p15	hard_floor	0.15	1.327037343	1.3268489	1.288374295	0.0001884424108	0.8805140546	0.8802640022	0.829954162	0.0002500523608	true	true
J1 row 1	1	1	1	false	0.5552748191	additive_floor_0p03	additive_floor	0.03	1.441057606	1.609743067	1.675868511	-0.1686854606	1.038323512	1.295636371	1.404267633	-0.2573128584	false	false
J1 row 2	1	2	2	true	0.4566148836	additive_floor_0p03	additive_floor	0.03	1.441057606	1.44245489	1.675868511	-0.001397283689	1.038323512	1.040338055	1.404267633	-0.002014542489	false	false
J1 row 3	1	3	18	false	0.1866046451	additive_floor_0p03	additive_floor	0.03	1.441057606	1.459871887	1.675868511	-0.01881428089	1.038323512	1.065612963	1.404267633	-0.02728945116	false	false
J1 row 4	1	4	20	false	0.4677491586	additive_floor_0p03	additive_floor	0.03	1.441057606	1.457290116	1.675868511	-0.01623250962	1.038323512	1.061847241	1.404267633	-0.02352372865	false	false
J2 row 1	2	1	5	false	0.3211453431	additive_floor_0p03	additive_floor	0.03	1.441057606	1.459908113	1.675868511	-0.01885050626	1.038323512	1.065665848	1.404267633	-0.02734233621	false	false
J2 row 2	2	2	6	false	0.3036773312	additive_floor_0p03	additive_floor	0.03	1.441057606	1.440984764	1.675868511	7.284245109e-05	1.038323512	1.038218545	1.404267633	0.0001049675152	true	true
J2 row 3	2	3	17	true	0.2897527053	additive_floor_0p03	additive_floor	0.03	1.441057606	1.449533078	1.675868511	-0.008475472217	1.038323512	1.050573073	1.404267633	-0.01224956052	false	false
J2 row 4	2	4	22	false	0.1877143606	additive_floor_0p03	additive_floor	0.03	1.441057606	1.442223261	1.675868511	-0.001165654951	1.038323512	1.040003968	1.404267633	-0.001680455309	false	false
J3 row 1	3	1	9	true	0.284332013	additive_floor_0p03	additive_floor	0.03	1.441057606	1.459412868	1.675868511	-0.01835526198	1.038323512	1.06494296	1.404267633	-0.02661944771	false	false
J3 row 2	3	2	10	false	0.3704170558	additive_floor_0p03	additive_floor	0.03	1.441057606	1.43994819	1.675868511	0.001109415864	1.038323512	1.036725396	1.404267633	0.001598116767	true	true
J3 row 3	3	3	19	false	0.2887670253	additive_floor_0p03	additive_floor	0.03	1.441057606	1.440030974	1.675868511	0.001026632047	1.038323512	1.036844603	1.404267633	0.001478908934	true	true
J3 row 4	3	4	24	true	0.2160830544	additive_floor_0p03	additive_floor	0.03	1.441057606	1.446493171	1.675868511	-0.005435565163	1.038323512	1.046171247	1.404267633	-0.007847735207	false	false
J4 row 1	4	1	13	false	0.3480934246	additive_floor_0p03	additive_floor	0.03	1.441057606	1.448990334	1.675868511	-0.007932727913	1.038323512	1.049786494	1.404267633	-0.01146298198	false	false
J4 row 2	4	2	14	true	0.2565175974	additive_floor_0p03	additive_floor	0.03	1.441057606	1.460149825	1.675868511	-0.01909221854	1.038323512	1.066018755	1.404267633	-0.02769524316	false	false
