rank	variant_label	y_true	y_obs	sigma_true	sigma_model	flux_shape_obs	true_minus_obs	true_standardized_residual	true_loss_contribution	at_floor	global_index	scenario_index	scenario_label	local_index	road_id	road_role	sensor_position	sensor_cell	sensor_fraction	time_index	time_hour	time_min
37	hard_floor_0p03	0.2490321384	0.1126526452	0.05984484238	0.03198784855	0.3998481069	0.1363794932	4.263478144	9.08862294	false	2735	10	late_surge_sparse_start	143	7	outgoing	3	11	0.5833333333	4	0.01666666667	1
38	hard_floor_0p03	0.09282278837	0.04089107906	0.02694614987	0.01255007959	0.1568759948	0.05193170931	4.137958564	8.561350541	false	2602	10	late_surge_sparse_start	10	2	incoming	2	8	0.4166666667	3	0.0125	0.75
39	hard_floor_0p03	0.1994237864	0.0910340824	0.05108926074	0.02647900104	0.330987513	0.108389704	4.093421192	8.378048526	false	2057	8	alternating_inlets	41	9	incoming	1	2	0.08333333333	3	0.0125	0.75
40	hard_floor_0p03	0.119268317	0.05338311568	0.03361388338	0.01617067477	0.2021334346	0.06588520133	4.074363147	8.300217527	false	1255	5	south_heavy	103	4	outgoing	3	11	0.5833333333	2	0.008333333333	0.5
41	hard_floor_0p03	0.1864299948	0.08546177111	0.04853563258	0.02501057817	0.3126322272	0.1009682237	4.037020774	8.148768367	false	1519	6	west_heavy	79	14	incoming	3	11	0.5833333333	4	0.01666666667	1
42	hard_floor_0p03	0.2350707457	0.1094223215	0.05753999687	0.03118370465	0.3897963082	0.1256484242	4.029297533	8.117619303	false	2011	7	east_heavy_late	283	24	internal	3	8	0.625	7	0.02916666667	1.75
43	hard_floor_0p03	0.1604112708	0.07481230516	0.04309743841	0.02214893573	0.2768616966	0.08559896568	3.864698815	7.467948467	false	2659	10	late_surge_sparse_start	67	14	incoming	3	11	0.5833333333	1	0.004166666667	0.25
44	hard_floor_0p03	0.1700113621	0.07953240015	0.04515439963	0.02342623919	0.2928279899	0.09047896192	3.86229139	7.458647389	false	71	1	balanced_reference	71	14	incoming	3	11	0.5833333333	2	0.008333333333	0.5
45	hard_floor_0p03	0.6387631886	0.8204759455	0.0738383288	0.04713445388	0.5891806735	-0.1817127569	-3.855200219	7.431284364	false	2909	11	upstream_loaded	29	2	incoming	1	2	0.08333333333	8	0.03333333333	2
46	hard_floor_0p03	0.5949535169	0.7954768615	0.07711482548	0.05206189577	0.6507736972	-0.2005233447	-3.851633554	7.417540518	false	2465	9	early_spike_then_clear	161	15	outgoing	1	2	0.08333333333	1	0.004166666667	0.25
47	hard_floor_0p03	0.2851997559	0.1388524923	0.06523547364	0.03826319285	0.4782899107	0.1463472636	3.824753051	7.314367951	false	1874	7	east_heavy_late	146	7	outgoing	2	8	0.4166666667	5	0.02083333333	1.25
48	hard_floor_0p03	0.2899312099	0.1415025097	0.0658787531	0.03887345582	0.4859181978	0.1484287002	3.818253281	7.289529058	false	2194	8	alternating_inlets	178	15	outgoing	2	8	0.4166666667	5	0.02083333333	1.25
49	hard_floor_0p03	0.1729738341	0.08186282104	0.04577724378	0.02405161586	0.3006451983	0.09111101306	3.788145195	7.175022009	false	2883	11	upstream_loaded	3	2	incoming	3	11	0.5833333333	1	0.004166666667	0.25
50	hard_floor_0p03	0.260030024	0.1270740182	0.06157261139	0.03549638786	0.4437048483	0.1329560058	3.745620718	7.014837283	false	1322	5	south_heavy	170	15	outgoing	2	8	0.4166666667	3	0.0125	0.75
51	hard_floor_0p03	0.3025904421	0.1512048925	0.06752942926	0.04106943136	0.5133678921	0.1513855495	3.686088278	6.793623397	false	399	2	heavy_from_start	111	4	outgoing	3	11	0.5833333333	4	0.01666666667	1
52	hard_floor_0p03	0.2669255569	0.132184176	0.06261641727	0.03670768629	0.4588460786	0.1347413808	3.670658504	6.736866926	false	2759	10	late_surge_sparse_start	167	15	outgoing	3	11	0.5833333333	2	0.008333333333	0.5
53	hard_floor_0p03	0.5549954725	0.305895236	0.07903215936	0.06794346898	0.8492933623	0.2491002365	3.666286698	6.720829075	false	2716	10	late_surge_sparse_start	124	4	outgoing	4	17	0.9166666667	7	0.02916666667	1.75
54	hard_floor_0p03	0.587208094	0.7847725873	0.07756631947	0.05404946353	0.6756182941	-0.1975644933	-3.655253548	6.680439249	false	1328	5	south_heavy	176	15	outgoing	4	17	0.9166666667	4	0.01666666667	1
