road_id,cell_id,n_cells,cell_fraction_center,truth_density,mean_density,abs_error
704,29,38,0.75,0.08426641616,0.08426641616,0
704,30,38,0.7763157895,0.08028732826,0.08028732826,0
704,31,38,0.8026315789,0.07522860099,0.07522860099,0
704,32,38,0.8289473684,0.06924426012,0.06924426012,0
704,33,38,0.8552631579,0.06249953179,0.06249953179,0
704,34,38,0.8815789474,0.05516703554,0.05516703554,0
704,35,38,0.9078947368,0.04742381617,0.04742381617,0
704,36,38,0.9342105263,0.0395201461,0.0395201461,0
704,37,38,0.9605263158,0.03187929193,0.03187929193,0
704,38,38,0.9868421053,0.02505731101,0.02505731101,0
705,1,8,0.0625,0.1731689014,0.1731689014,0
705,2,8,0.1875,0.1745757711,0.1745757711,0
705,3,8,0.3125,0.1755898119,0.1755898119,0
705,4,8,0.4375,0.1763475587,0.1763475587,0
705,5,8,0.5625,0.176963974,0.176963974,0
705,6,8,0.6875,0.1774233777,0.1774233777,0
705,7,8,0.8125,0.1775181251,0.1775181251,0
705,8,8,0.9375,0.176881641,0.176881641,0
706,1,16,0.03125,0.08953437642,0.08953437642,0
706,2,16,0.09375,0.1212773809,0.1212773809,0
706,3,16,0.15625,0.1222911349,0.1222911349,0
706,4,16,0.21875,0.1188351079,0.1188351079,0
706,5,16,0.28125,0.1219974766,0.1219974766,0
706,6,16,0.34375,0.1393070854,0.1393070854,0
706,7,16,0.40625,0.1772705066,0.1772705066,0
706,8,16,0.46875,0.2335746171,0.2335746171,0
706,9,16,0.53125,0.2895359401,0.2895359401,0
706,10,16,0.59375,0.3249419638,0.3249419638,0
706,11,16,0.65625,0.3379422675,0.3379422675,0
706,12,16,0.71875,0.3372063245,0.3372063245,0
706,13,16,0.78125,0.3295883025,0.3295883025,0
706,14,16,0.84375,0.3186523884,0.3186523884,0
706,15,16,0.90625,0.3149683631,0.3149683631,0
706,16,16,0.96875,0.7426796972,0.7426796972,0
707,1,4,0.125,0.1273700842,0.1273700842,0
707,2,4,0.375,0.1364091748,0.1364091748,0
707,3,4,0.625,0.1489707703,0.1489707703,0
707,4,4,0.875,0.1639025194,0.1639025194,0
708,1,4,0.125,0.1079417195,0.1079417195,0
708,2,4,0.375,0.1134768454,0.1134768454,0
708,3,4,0.625,0.1182104054,0.1182104054,0
708,4,4,0.875,0.1220787718,0.1220787718,0
709,1,36,0.01388888889,0.8256130654,0.8256130654,0
709,2,36,0.04166666667,0.83407274,0.83407274,0
