entry_index	target_row_index	node_label	node_type	junction_id	row	incoming_road	outgoing_road	local_outgoing_index	matrix_column	true_turning_fraction	mean	median	q05	q25	q75	q95	mean_abs_error	width90	covered90
49	17	J635	junction	308	2	72	103	1	1	0.5058520174	0.3512058283	0.3365730285	0.05345096143	0.1650799358	0.4855091107	0.7256553766	0.1546461891	0.6722044152	true
50	17	J635	junction	308	2	72	104	2	2	0.2267304274	0.301832858	0.2601890965	0.0475704626	0.09702119891	0.4417916199	0.7290905053	0.07510243065	0.6815200427	true
51	17	J635	junction	308	2	72	105	3	3	0.2674175552	0.3469613137	0.3339819738	0.1322636116	0.2078488077	0.4321894144	0.6746119479	0.07954375849	0.5423483362	true
52	18	J635	junction	308	3	110	103	1	1	0.119554461	0.3535100441	0.2810870871	0.04582779253	0.1467270191	0.5418801182	0.7922838492	0.2339555831	0.7464560567	true
53	18	J635	junction	308	3	110	104	2	2	0.8032404603	0.3252288435	0.2840483706	0.01656689156	0.1167254583	0.4861870722	0.7474928165	0.4780116168	0.7309259249	false
54	18	J635	junction	308	3	110	105	3	3	0.07720507866	0.3212611124	0.2769051332	0.09279631941	0.2018298265	0.4263472777	0.6931632757	0.2440560337	0.6003669562	false
55	19	J644	junction	339	1	224	52	1	1	0.2980140145	0.192525649	0.1456687252	0.01368244487	0.0566618026	0.2464806832	0.5555382682	0.1054883655	0.5418558234	true
56	19	J644	junction	339	1	224	232	2	2	0.2435232537	0.3947585105	0.3971211142	0.1517911304	0.2799542612	0.4941322847	0.6516256778	0.1512352568	0.4998345474	true
57	19	J644	junction	339	1	224	235	3	3	0.1999885846	0.1901401677	0.1897048061	0.08329342046	0.1415992279	0.239172616	0.3042523056	0.009848416902	0.2209588851	true
58	19	J644	junction	339	1	224	236	4	4	0.2584741473	0.2225756728	0.208487204	0.08742142487	0.1292332695	0.2771848035	0.4535899397	0.03589847445	0.3661685148	true
59	20	J644	junction	339	2	225	52	1	1	0.2671144812	0.1912993174	0.1612473061	0.01930126353	0.0646522375	0.2605625894	0.489746518	0.07581516379	0.4704452544	true
60	20	J644	junction	339	2	225	232	2	2	0.2218877051	0.2329273901	0.1573013906	0.02465770689	0.09209982178	0.3334761696	0.6614855063	0.01103968499	0.6368277995	true
61	20	J644	junction	339	2	225	235	3	3	0.1900868157	0.3753216747	0.3561166393	0.03886983478	0.1886472135	0.5613289445	0.7378887718	0.1852348591	0.699018937	true
62	20	J644	junction	339	2	225	236	4	4	0.320910998	0.2004516178	0.1709351102	0.08468630989	0.126132168	0.222896583	0.3945467366	0.1204593803	0.3098604267	true
63	21	J644	junction	339	3	227	52	1	1	0.2330589682	0.1640687034	0.1122732452	0.02098815016	0.04825564157	0.2292869415	0.4733011435	0.06899026478	0.4523129933	true
64	21	J644	junction	339	3	227	232	2	2	0.2048826143	0.3050944292	0.2417942832	0.04363049105	0.1509953093	0.4112810681	0.7648099552	0.100211815	0.7211794642	true
65	21	J644	junction	339	3	227	235	3	3	0.1893420201	0.2838506799	0.2337104306	0.02943951317	0.1344231444	0.3587533069	0.6745730828	0.09450865978	0.6451335696	true
66	21	J644	junction	339	3	227	236	4	4	0.3727163975	0.2469861875	0.2391190351	0.07143839729	0.1680827009	0.3017583231	0.4492499556	0.12573021	0.3778115583	true
67	22	J246	junction	386	1	790	791	1	1	0.6753648945	0.4858826497	0.4996930302	0.1256099407	0.3725069688	0.6109281677	0.8202076539	0.1894822448	0.6945977132	true
68	22	J246	junction	386	1	790	795	2	2	0.3246351055	0.5141173503	0.495942675	0.1797923461	0.3841732657	0.6244077011	0.8743900593	0.1894822448	0.6945977132	true
69	23	J641	junction	457	1	98	81	1	1	0.3326582023	0.452985779	0.4241118122	0.08834890219	0.2944000166	0.5813246961	0.8507844991	0.1203275767	0.7624355969	true
70	23	J641	junction	457	1	98	87	2	2	0.6673417977	0.547014221	0.5720100594	0.1492155009	0.4096508421	0.7054115651	0.9116510978	0.1203275767	0.7624355969	true
71	24	RB08	roundabout	475	1	1063	1047	1	1	0.1887377939	0.1577023737	0.1539244507	0.07032979714	0.1234680833	0.1885592434	0.258124007	0.03103542027	0.1877942098	true
72	24	RB08	roundabout	475	1	1063	1049	2	2	0.2156502512	0.3308379182	0.2873943759	0.07095284424	0.179659352	0.4934660352	0.6729139102	0.115187667	0.601961066	true
