sample	weight	entry_index	target_row_index	node_label	node_type	junction_id	row	incoming_road	outgoing_road	local_outgoing_index	matrix_column	true_turning_fraction	sample_turning_fraction
1	0.015625	104	33	RB23	roundabout	490	1	548	557	3	3	0.3692766635	0.2764301189
1	0.015625	105	34	RB23	roundabout	490	2	553	551	1	1	0.3021528261	0.4600955316
1	0.015625	106	34	RB23	roundabout	490	2	553	552	2	2	0.2590793295	0.0495042326
1	0.015625	107	34	RB23	roundabout	490	2	553	557	3	3	0.4387678443	0.4904002358
1	0.015625	108	35	RB24	roundabout	491	1	562	561	1	1	0.354151074	0.7378265087
1	0.015625	109	35	RB24	roundabout	491	1	562	564	2	2	0.645848926	0.2621734913
1	0.015625	110	36	RB24	roundabout	491	2	567	561	1	1	0.3321790666	0.8132994816
1	0.015625	111	36	RB24	roundabout	491	2	567	564	2	2	0.6678209334	0.1867005184
1	0.015625	112	37	RB28	roundabout	495	1	108	115	1	1	0.0597532262	0.04147458273
1	0.015625	113	37	RB28	roundabout	495	1	108	116	2	2	0.06637418218	0.5164377044
1	0.015625	114	37	RB28	roundabout	495	1	108	123	3	4	0.07712541654	0.1682682942
1	0.015625	115	37	RB28	roundabout	495	1	108	130	4	5	0.7967471751	0.2738194186
1	0.015625	116	38	RB28	roundabout	495	2	122	115	1	1	0.0684116138	0.5852060433
1	0.015625	117	38	RB28	roundabout	495	2	122	116	2	2	0.0812487774	0.1861405924
1	0.015625	118	38	RB28	roundabout	495	2	122	117	3	3	0.09876736801	0.06687958641
1	0.015625	119	38	RB28	roundabout	495	2	122	130	4	5	0.7515722408	0.1617737779
1	0.015625	120	39	RB28	roundabout	495	3	125	115	1	1	0.1618176795	0.04181033431
1	0.015625	121	39	RB28	roundabout	495	3	125	116	2	2	0.09897722401	0.345087802
1	0.015625	122	39	RB28	roundabout	495	3	125	117	3	3	0.1206537795	0.340488893
1	0.015625	123	39	RB28	roundabout	495	3	125	123	4	4	0.1441552394	0.1777192327
1	0.015625	124	39	RB28	roundabout	495	3	125	130	5	5	0.4743960777	0.09489373801
1	0.015625	125	40	RB28	roundabout	495	4	151	115	1	1	0.1047798359	0.497792186
1	0.015625	126	40	RB28	roundabout	495	4	151	116	2	2	0.1263820033	0.05040991964
1	0.015625	127	40	RB28	roundabout	495	4	151	117	3	3	0.1479954726	0.1864462583
1	0.015625	128	40	RB28	roundabout	495	4	151	130	4	5	0.6208426882	0.265351636
1	0.015625	129	41	RB29	roundabout	496	1	130	151	1	1	0.4035299007	0.4289493981
1	0.015625	130	41	RB29	roundabout	496	1	130	154	2	2	0.5964700993	0.5710506019
1	0.015625	131	42	RB29	roundabout	496	2	149	151	1	1	0.8167737525	0.1163796865
1	0.015625	132	42	RB29	roundabout	496	2	149	154	2	2	0.1832262475	0.8836203135
1	0.015625	133	43	RB29	roundabout	496	3	155	151	1	1	0.8242018087	0.425525599
1	0.015625	134	43	RB29	roundabout	496	3	155	154	2	2	0.1757981913	0.574474401
1	0.015625	135	44	RB30	roundabout	497	1	93	101	1	1	0.3153225725	0.03207805144
1	0.015625	136	44	RB30	roundabout	497	1	93	102	2	2	0.2770249858	0.2364632914
1	0.015625	137	44	RB30	roundabout	497	1	93	106	3	3	0.2340617563	0.355115387
1	0.015625	138	44	RB30	roundabout	497	1	93	108	4	4	0.1735906854	0.3763432702
1	0.015625	139	45	RB30	roundabout	497	2	117	101	1	1	0.3122290488	0.6130476113
1	0.015625	140	45	RB30	roundabout	497	2	117	102	2	2	0.2592788299	0.07889812154
1	0.015625	141	45	RB30	roundabout	497	2	117	106	3	3	0.2120829778	0.1279845004
1	0.015625	142	45	RB30	roundabout	497	2	117	108	4	4	0.2164091434	0.1800697668
2	0.015625	1	1	J686	junction	54	1	139	168	1	1	0.09361418821	0.1090110399
2	0.015625	2	1	J686	junction	54	1	139	171	2	2	0.8485888076	0.4817798417
2	0.015625	3	1	J686	junction	54	1	139	173	3	3	0.0577970042	0.4092091184
2	0.015625	4	2	J686	junction	54	2	163	168	1	1	0.4909049022	0.1904338325
2	0.015625	5	2	J686	junction	54	2	163	171	2	2	0.2553048155	0.3951404915
2	0.015625	6	2	J686	junction	54	2	163	173	3	3	0.2537902823	0.414425676
2	0.015625	7	3	J686	junction	54	3	180	168	1	1	0.5068835416	0.3571031223
2	0.015625	8	3	J686	junction	54	3	180	171	2	2	0.2399326074	0.2669733929
2	0.015625	9	3	J686	junction	54	3	180	173	3	3	0.2531838511	0.3759234848
2	0.015625	10	4	J168	junction	196	1	939	969	1	1	0.5007600539	0.4279983878
2	0.015625	11	4	J168	junction	196	1	939	971	2	2	0.2183178039	0.3853636327
2	0.015625	12	4	J168	junction	196	1	939	972	3	3	0.2809221422	0.1866379795
2	0.015625	13	5	J168	junction	196	2	957	969	1	1	0.120008088	0.6517171986
2	0.015625	14	5	J168	junction	196	2	957	971	2	2	0.7942807287	0.1598972168
2	0.015625	15	5	J168	junction	196	2	957	972	3	3	0.08571118326	0.1883855845
2	0.015625	16	6	J168	junction	196	3	986	969	1	1	0.4189197906	0.4493786888
2	0.015625	17	6	J168	junction	196	3	986	971	2	2	0.171321574	0.1650546675
2	0.015625	18	6	J168	junction	196	3	986	972	3	3	0.4097586354	0.3855666437
2	0.015625	19	7	J245	junction	219	1	801	800	1	1	0.3612270427	0.5452245168
