target_row_index	node_label	node_type	junction_id	row	incoming_road	outgoing_roads	active_matrix_columns	latent_parameter_indices	latent_parameter_names	true_turning_fractions
29	RB18	roundabout	485	2	798	781 784 794	1 2 3	62 63	z_j485_r2_k1 z_j485_r2_k2	0.39690251604427657 0.40273413834063404 0.20036334561508945
30	RB19	roundabout	486	1	777	797 798	1 2	64	z_j486_r1_k1	0.6632352943582328 0.33676470564176714
31	RB19	roundabout	486	2	799	797 798	1 2	65	z_j486_r2_k1	0.6283055033752574 0.37169449662474263
32	RB20	roundabout	487	1	768	771 772 775 776 777	1 2 3 4 5	66 67 68 69	z_j487_r1_k1 z_j487_r1_k2 z_j487_r1_k3 z_j487_r1_k4	0.2618012881485372 0.21502642000011143 0.17570394646421789 0.14526658927573563 0.20220175611139793
33	RB23	roundabout	490	1	548	551 552 557	1 2 3	70 71	z_j490_r1_k1 z_j490_r1_k2	0.3462674085439203 0.28445592792253477 0.3692766635335449
34	RB23	roundabout	490	2	553	551 552 557	1 2 3	72 73	z_j490_r2_k1 z_j490_r2_k2	0.30215282613044575 0.25907932953722024 0.43876784433233396
35	RB24	roundabout	491	1	562	561 564	1 2	74	z_j491_r1_k1	0.3541510740226427 0.6458489259773573
36	RB24	roundabout	491	2	567	561 564	1 2	75	z_j491_r2_k1	0.3321790665739317 0.6678209334260683
37	RB28	roundabout	495	1	108	115 116 123 130	1 2 4 5	76 77 78	z_j495_r1_k1 z_j495_r1_k2 z_j495_r1_k3	0.05975322620335104 0.06637418217572677 0.07712541653886452 0.7967471750820576
38	RB28	roundabout	495	2	122	115 116 117 130	1 2 3 5	79 80 81	z_j495_r2_k1 z_j495_r2_k2 z_j495_r2_k3	0.06841161380288623 0.08124877740244524 0.0987673680108652 0.7515722407838034
39	RB28	roundabout	495	3	125	115 116 117 123 130	1 2 3 4 5	82 83 84 85	z_j495_r3_k1 z_j495_r3_k2 z_j495_r3_k3 z_j495_r3_k4	0.16181767945958836 0.09897722400937065 0.12065377945901366 0.14415523941049496 0.4743960776615324
40	RB28	roundabout	495	4	151	115 116 117 130	1 2 3 5	86 87 88	z_j495_r4_k1 z_j495_r4_k2 z_j495_r4_k3	0.10477983591024977 0.12638200327614926 0.14799547260981147 0.6208426882037895
41	RB29	roundabout	496	1	130	151 154	1 2	89	z_j496_r1_k1	0.40352990067981437 0.5964700993201856
42	RB29	roundabout	496	2	149	151 154	1 2	90	z_j496_r2_k1	0.8167737525270045 0.1832262474729956
43	RB29	roundabout	496	3	155	151 154	1 2	91	z_j496_r3_k1	0.8242018086696699 0.17579819133033014
44	RB30	roundabout	497	1	93	101 102 106 108	1 2 3 4	92 93 94	z_j497_r1_k1 z_j497_r1_k2 z_j497_r1_k3	0.31532257247910594 0.2770249858291795 0.2340617563256528 0.17359068536606176
45	RB30	roundabout	497	2	117	101 102 106 108	1 2 3 4	95 96 97	z_j497_r2_k1 z_j497_r2_k2 z_j497_r2_k3	0.31222904880569347 0.25927882993272333 0.21208297782270472 0.2164091434388785
